Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
GC.6581.50.3,ADNI,5e-04,0.00751189,0.00566657,0.0275137,0.0218472,0.07,0.161572,0.0681849,0.0178068,373,Y,1.74941411912225
GC.6581.50.3,ANM,0.05,0.0122577,0.00975755,0.12359,0.113833,0.07,0.232895,0.084606,0.0059105,21006,Y,2.22837577833095
GC.6581.50.3,GERAD,0.001,0.0008039,0.000664664,0.0240589,0.0233943,0.07,0.0543013,0.0341042,0.111336,769,N,0.953364385769634
HP.3054.3.2,ADNI,0.2,0.00105551,0.000794825,0.022642,0.0218472,0.07,-0.0591879,0.0664385,0.373,61379,N,0.428291168191312
HP.3054.3.2,ANM,5e-08,0.0057437,0.00456046,0.118393,0.113833,0.07,-0.152138,0.0805454,0.0589124,50,N,1.22979328441856
HP.3054.3.2,GERAD,5e-05,0.000791701,0.000654578,0.0240488,0.0233943,0.07,0.0536914,0.0340054,0.114357,123,N,0.941737246288299
IGFBP2.2570.72.5,ADNI,5e-05,0.00848121,0.00639946,0.0282466,0.0218472,0.07,0.169347,0.0672635,0.0118137,65,Y,1.92761406191897
IGFBP2.2570.72.5,ANM,5e-05,0.000915434,0.000725471,0.114558,0.113833,0.07,-0.059897,0.0792208,0.449603,65,N,0.347170799576231
IGFBP2.2570.72.5,GERAD,0.1,0.000963491,0.000796631,0.0241909,0.0233943,0.07,-0.0593865,0.0340625,0.0812535,36856,N,1.09015792268203
IL10.2773.50.2,ADNI,0.1,0.00769363,0.00580395,0.0276511,0.0218472,0.07,0.177307,0.073951,0.0165018,36858,Y,1.78246868079029
IL10.2773.50.2,ANM,5e-05,0.00076655,0.000607446,0.11444,0.113833,0.07,-0.0549416,0.0794222,0.489084,48,N,0.310616544550155
IL10.2773.50.2,GERAD,1,0.000357306,0.000295403,0.0236897,0.0233943,0.07,-0.0362827,0.0341741,0.288371,145970,N,0.540048416536653
IL13.3072.4.2,ADNI,1,0.00336129,0.00253273,0.0243799,0.0218472,0.07,0.12375,0.0778881,0.112101,147108,N,0.950390513252085
IL13.3072.4.2,ANM,5e-05,0.00204629,0.00162238,0.115455,0.113833,0.07,0.0915675,0.0810329,0.258475,54,N,0.587581456001756
IL13.3072.4.2,GERAD,0.1,0.000874001,0.00072263,0.0241169,0.0233943,0.07,0.0573122,0.0345175,0.0968384,36550,N,1.01395239474571
IL3.4717.55.2,ADNI,0.001,0.00349635,0.00263459,0.0244818,0.0218472,0.07,-0.109762,0.0678102,0.10552,803,N,0.976665217461691
IL3.4717.55.2,ANM,0.001,0.00227053,0.00180033,0.115633,0.113833,0.07,-0.0966895,0.0812133,0.233825,808,N,0.631109056982538
IL3.4717.55.2,GERAD,0.05,0.000197423,0.000163216,0.0235575,0.0233943,0.07,0.0270053,0.0342148,0.429944,20896,N,0.366588107385027
KITLG.9377.25.3,ADNI,5e-05,0.00180313,0.00135808,0.0232052,0.0218472,0.07,-0.077838,0.0668626,0.244364,51,N,0.611962774505368
KITLG.9377.25.3,ANM,0.2,0.00979711,0.00779129,0.121624,0.113833,0.07,-0.197758,0.0802683,0.0137507,61974,Y,1.86167519285923
KITLG.9377.25.3,GERAD,0.05,7.65147e-05,6.32564e-05,0.0234575,0.0233943,0.07,0.016709,0.0340045,0.62316,21028,N,0.205400431357319
MMP9.2579.17.5,ADNI,0.001,0.00529479,0.00399171,0.0258389,0.0218472,0.07,-0.134242,0.0674295,0.0464976,788,Y,1.33256946288759
MMP9.2579.17.5,ANM,5e-05,0.00292986,0.00232372,0.116157,0.113833,0.07,0.105945,0.0783851,0.176506,61,N,0.753240526975299
MMP9.2579.17.5,GERAD,5e-08,0.000559445,0.000462534,0.0238568,0.0233943,0.07,-0.0445363,0.0333148,0.181278,2,N,0.741654898929019
NPPB.3723.1.2,ADNI,0.5,0.00413479,0.00311621,0.0249634,0.0218472,0.07,0.127535,0.072402,0.0781567,109473,N,1.1070337860606
NPPB.3723.1.2,ANM,1,0.00467605,0.0037112,0.117544,0.113833,0.07,0.136578,0.0800882,0.0881308,149948,N,1.05487228758798
