Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0276916388213243,-0.741714324660091,0.458260438906985,-0.100866192632941,0.0454829149902924,0.0373346420591441,0,0.478005105981119,0.787412872112493,-0.00939289091616467,8.82263997629689e-05,N,0.33888763327668
ANGPT2.13660.76.3,5e-04,401,6237,-0.0249744683843533,-0.670302198310523,0.502665166045295,-0.0979998272295745,0.048050890460868,0.0372585207795837,0,1.10586026867791,0.575261744267247,-0.00848861364518934,7.20565616172947e-05,N,0.298721209696293
ANGPT2.13660.76.3,0.001,774,6237,-0.00988420416699316,-0.213897706713348,0.830626828627439,-0.100454058705496,0.0806856503715099,0.0462099585772527,24.5929992302978,2.47491250887403,0.29012127480456,-0.00270885841401636,7.33791390718724e-06,N,0.0805940456115438
ANGPT2.13660.76.3,0.01,5741,6237,0.00903182606130142,0.24291622043137,0.808070299779203,-0.0638412565321367,0.0819049086547395,0.0371808273867539,0,0.741832773320868,0.690101640849371,0.00307635345057527,9.46395055286635e-06,N,0.0925508552178611
ANGPT2.13660.76.3,0.05,21108,6237,-0.021358094529555,-0.573493525000481,0.566310581989436,-0.0943512395808346,0.0516350505217246,0.037242084868416,0,0.416728433007292,0.81191127136937,-0.00726271221886193,5.27469887740063e-05,N,0.246945323140058
ANGPT2.13660.76.3,0.1,36722,6237,-0.0171211085087674,-0.454329965357632,0.649591351546114,-0.0909809870359777,0.0567387700184429,0.037684303951403,1.1009901325734,1.89088204750193,0.38850819177338,-0.00575368344145409,3.3104873144463e-05,N,0.187359765787821
ANGPT2.13660.76.3,0.2,61287,6237,-0.0558170881943897,-1.06697196406329,0.285984496179626,-0.158349756593923,0.0467155802051433,0.052313547191835,37.9925399663623,3.09130253175825,0.213172993707577,-0.0135112376989188,0.000182553544156686,N,0.543657510249085
ANGPT2.13660.76.3,0.5,109701,6237,-0.0335271903045045,-0.783077399395109,0.433581662048068,-0.117442376147448,0.0503879955384388,0.0428146570574029,15.806938106053,2.36881561666237,0.30592729346078,-0.00991665274475132,9.83400016599838e-05,N,0.362929094181265
ANGPT2.13660.76.3,1,147293,6237,-0.0304612482322926,-0.696731915649831,0.485970581466368,-0.116151236186618,0.0552287397220325,0.0437201849780082,18.2191705972644,2.58989848998951,0.273911766371783,-0.00882329034053854,7.78504524334407e-05,N,0.313390020230556
APCS.2474.54.5,5e-08,3,6237,-0.0615248588699873,-1.41387448453349,0.157398758848959,-0.146812845079649,0.0237631273396744,0.0435150782781737,13.4085064338104,1.96594580072214,0.374196993233159,-0.0179028848539567,0.000320513286094033,N,0.802998696546036
APCS.2474.54.5,5e-05,50,6237,-0.063054504791604,-1.68347963351718,0.0922822787841818,-0.136464694017568,0.0103556844343594,0.0374548664184718,0,0.972313215748386,0.614985488201593,-0.0213152758058928,0.000454340982681278,N,1.03488168971254
APCS.2474.54.5,5e-04,426,6237,-0.0252972157206535,-0.677287911855332,0.498223299014946,-0.0985033528061358,0.0479089213648287,0.037350756270484,0,0.807547932399711,0.667795048463484,-0.00857707327363772,7.35661859413504e-05,N,0.302575966889785
APCS.2474.54.5,0.001,774,6237,0.000862153153638524,0.0231606957690828,0.981522090423186,-0.0720971891362781,0.0738214954435551,0.0372248382446874,0,0.048294182570972,0.976142117198725,0.000293314379391278,8.60333251576905e-08,N,0.00809992159537417
APCS.2474.54.5,0.01,5758,6237,-0.0550643752334397,-0.569654103229404,0.568912325226424,-0.244520032055557,0.134391281588678,0.0966628256011435,80.3925247270174,8.29686488489604,0.0157891474935435,-0.00721409238602725,5.20431289541364e-05,N,0.24495465733815
APCS.2474.54.5,0.05,21158,6237,-0.0306023535084968,-0.480040629047509,0.631198503418172,-0.155549091533208,0.0943443845162143,0.0637495071390469,55.2845715823079,4.4242191660042,0.109469469823139,-0.00607927433453283,3.69575764345096e-05,N,0.199834039516634
APCS.2474.54.5,0.1,36777,6237,-0.0350421209443659,-0.92864092110768,0.353075207339173,-0.109001057527659,0.0389168156389273,0.0377348447046333,0.03986058232205,1.89794438796079,0.387138722550187,-0.0117597897272908,0.000138292654430093,N,0.452132777180081
APCS.2474.54.5,0.2,61174,6237,-0.00166422167982115,-0.0441189299424446,0.964809603563637,-0.0755965350653769,0.0722680917057346,0.0377212611908813,0.0810521987450736,2.37877769882436,0.30440724589673,-0.00055873602508355,3.12185945726165e-07,N,0.0155583822831772
APCS.2474.54.5,0.5,109638,6237,-0.00120646865240637,-0.023056356890829,0.981605318578148,-0.103765390618679,0.101352453313866,0.0523269421148777,36.4714788137859,3.41948451909038,0.180912415056757,-0.000291992998936592,8.52599114279847e-08,N,0.00806309716075526
