Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_75,0.2,0.00825018,0.00619585,0.0253148,0.0191189,0.07,-0.165715,0.0799592,0.0382188,61287,Y,1.4177229531146
ANGPT2.13660.76.3,ANM_75,5e-04,0.00088837,0.000728654,0.153842,0.153113,0.07,-0.0613094,0.0969003,0.526926,403,N,0.278250371596231
ANGPT2.13660.76.3,GERAD_75,0.001,0.000289717,0.000233568,0.0324387,0.0322051,0.07,0.0322386,0.0466949,0.489937,774,N,0.30985976142333
APCS.2474.54.5,ADNI_75,5e-08,0.00666926,0.00500641,0.0241253,0.0191189,0.07,-0.159305,0.0886004,0.0721752,3,N,1.1416120040004
APCS.2474.54.5,ANM_75,0.01,0.017063,0.0140831,0.167196,0.153113,0.07,-0.276975,0.100995,0.00609833,5764,Y,2.21478907828135
APCS.2474.54.5,GERAD_75,0.05,0.000502115,0.000404818,0.0326099,0.0322051,0.07,0.0428643,0.0471626,0.363423,21057,N,0.439587590905264
APOB.2797.56.2,ADNI_75,0.01,0.0077717,0.00583574,0.0249547,0.0191189,0.07,-0.161859,0.0804289,0.0441731,5797,Y,1.35484212155547
APOB.2797.56.2,ANM_75,0.01,0.00908572,0.00747586,0.160589,0.153113,0.07,0.200465,0.0995595,0.0440602,5830,Y,1.35595353581214
APOB.2797.56.2,GERAD_75,0.01,0.000876694,0.000706858,0.032912,0.0322051,0.07,0.0563328,0.0469173,0.229874,5780,N,0.638510147021627
APOE.2937.10.2,ADNI_75,5e-05,0.000820088,0.000614624,0.0197335,0.0191189,0.07,-0.0522887,0.0798614,0.512633,54,N,0.290193440179474
APOE.2937.10.2,ANM_75,0.001,0.0139863,0.01153,0.164643,0.153113,0.07,0.247726,0.099149,0.012471,773,Y,1.90409872077412
APOE.2937.10.2,GERAD_75,5e-05,0.00128374,0.00103512,0.0332402,0.0322051,0.07,0.0683532,0.0470891,0.146621,54,N,0.833803822798826
C3.2755.8.2,ADNI_75,5e-05,0.00238964,0.00179171,0.0209106,0.0191189,0.07,0.0890375,0.0797286,0.264098,52,N,0.578234887669459
C3.2755.8.2,ANM_75,5e-04,0.0103328,0.00850612,0.161619,0.153113,0.07,0.213806,0.0997402,0.032063,397,Y,1.49399584497342
C3.2755.8.2,GERAD_75,5e-05,0.00145638,0.00117437,0.0333795,0.0322051,0.07,0.0723338,0.0467604,0.121887,52,N,0.914042612095607
C4A.C4B.4481.34.2,ADNI_75,0.001,0.00451163,0.00338473,0.0225037,0.0191189,0.07,-0.123532,0.0806978,0.125819,806,N,0.90025377087735
C4A.C4B.4481.34.2,ANM_75,0.5,0.000706353,0.00057932,0.153693,0.153113,0.07,-0.0556255,0.0985705,0.572535,110753,N,0.242197959045284
C4A.C4B.4481.34.2,GERAD_75,5e-05,0.000397284,0.000320294,0.0325254,0.0322051,0.07,-0.0380563,0.0471592,0.419681,86,N,0.377080691932037
CCL26.9168.31.3,ADNI_75,0.05,0.000679176,0.000508997,0.0196279,0.0191189,0.07,-0.0474541,0.0796441,0.551291,21452,N,0.258619097457684
CCL26.9168.31.3,ANM_75,5e-08,0.00315916,0.00259346,0.155707,0.153113,0.07,-0.116307,0.0975283,0.233049,1,N,0.632552756260311
CCL26.9168.31.3,GERAD_75,1,0.00141263,0.00113908,0.0333442,0.0322051,0.07,-0.0722612,0.0474288,0.127615,145634,N,0.894098275188854
CFH.4159.130.1,ADNI_75,5e-08,0.012842,0.00965649,0.0287754,0.0191189,0.07,-0.210539,0.0816815,0.00995018,6,Y,2.00216906274175
CFH.4159.130.1,ANM_75,0.01,0.00532937,0.00437872,0.157492,0.153113,0.07,-0.15275,0.0986605,0.121565,6011,N,0.915191445579983
CFH.4159.130.1,GERAD_75,0.01,0.00142378,0.00114807,0.0333532,0.0322051,0.07,-0.0719953,0.0470447,0.125928,5973,N,0.899877694090055
CLU.4542.24.2,ADNI_75,5e-05,0.0028142,0.00211029,0.0212292,0.0191189,0.07,-0.0970907,0.0801585,0.225806,50,N,0.646264522409848
CLU.4542.24.2,ANM_75,5e-05,0.00561564,0.00461444,0.157728,0.153113,0.07,0.156912,0.0988036,0.112259,50,N,0.949778830782089
CLU.4542.24.2,GERAD_75,0.05,0.000743587,0.000599523,0.0328046,0.0322051,0.07,0.0517015,0.0467367,0.268627,20960,N,0.570850338049666
CRP.4337.49.2,ADNI_75,5e-08,0.00485102,0.00363968,0.0227586,0.0191189,0.07,-0.127311,0.0800493,0.111742,4,N,0.951783559741645
CRP.4337.49.2,ANM_75,5e-05,0.00192134,0.00157654,0.15469,0.153113,0.07,0.0907254,0.0975682,0.35244,54,N,0.452914807429575
