Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
GC.6581.50.3,ADNI,5e-04,0.00751189,0.00566657,0.0275137,0.0218472,0.07,0.161572,0.0681849,0.0178068,373,Y,1.74941411912225
GC.6581.50.3,ANM,0.05,0.0124931,0.00994586,0.123779,0.113833,0.07,0.235211,0.0846485,0.00545801,21013,Y,2.26296567296425
GC.6581.50.3,GERAD,0.001,0.0008039,0.000664664,0.0240589,0.0233943,0.07,0.0543013,0.0341042,0.111336,769,N,0.953364385769634
HP.3054.3.2,ADNI,0.2,0.00120625,0.000908378,0.0227555,0.0218472,0.07,-0.0632851,0.0664539,0.340936,61398,N,0.46732713847226
HP.3054.3.2,ANM,5e-08,0.0057437,0.00456046,0.118393,0.113833,0.07,-0.152138,0.0805454,0.0589124,50,N,1.22979328441856
HP.3054.3.2,GERAD,5e-05,0.000791701,0.000654578,0.0240488,0.0233943,0.07,0.0536914,0.0340054,0.114357,123,N,0.941737246288299
IGFBP2.2570.72.5,ADNI,5e-05,0.00848121,0.00639946,0.0282466,0.0218472,0.07,0.169347,0.0672635,0.0118137,65,Y,1.92761406191897
IGFBP2.2570.72.5,ANM,5e-05,0.000915434,0.000725471,0.114558,0.113833,0.07,-0.059897,0.0792208,0.449603,65,N,0.347170799576231
IGFBP2.2570.72.5,GERAD,0.1,0.000906075,0.000749153,0.0241434,0.0233943,0.07,-0.0575911,0.0340626,0.0908863,36868,N,1.04150157643493
IL10.2773.50.2,ADNI,0.1,0.00756891,0.00570968,0.0275568,0.0218472,0.07,0.175846,0.073939,0.0173945,36874,Y,1.75958805040946
IL10.2773.50.2,ANM,5e-05,0.00076655,0.000607446,0.11444,0.113833,0.07,-0.0549416,0.0794222,0.489084,48,N,0.310616544550155
IL10.2773.50.2,GERAD,1,0.000412598,0.000341119,0.0237354,0.0233943,0.07,-0.038992,0.0341775,0.253925,146021,N,0.59529453887597
IL13.3072.4.2,ADNI,0.001,0.0033075,0.00249216,0.0243393,0.0218472,0.07,0.107624,0.0683077,0.115124,782,N,0.938834129184828
IL13.3072.4.2,ANM,5e-05,0.00204629,0.00162238,0.115455,0.113833,0.07,0.0915675,0.0810329,0.258475,54,N,0.587581456001756
IL13.3072.4.2,GERAD,0.1,0.000825002,0.000682114,0.0240764,0.0233943,0.07,0.0556761,0.0345129,0.106702,36566,N,0.971827440174186
IL3.4717.55.2,ADNI,0.001,0.00349635,0.00263459,0.0244818,0.0218472,0.07,-0.109762,0.0678102,0.10552,803,N,0.976665217461691
IL3.4717.55.2,ANM,0.001,0.00227053,0.00180033,0.115633,0.113833,0.07,-0.0966895,0.0812133,0.233825,808,N,0.631109056982538
IL3.4717.55.2,GERAD,0.05,0.000192092,0.000158809,0.0235531,0.0233943,0.07,0.0266368,0.0342129,0.43624,20905,N,0.360274515321235
KITLG.9377.25.3,ADNI,5e-05,0.00180313,0.00135808,0.0232052,0.0218472,0.07,-0.077838,0.0668626,0.244364,51,N,0.611962774505368
KITLG.9377.25.3,ANM,0.2,0.00994677,0.00791077,0.121744,0.113833,0.07,-0.199254,0.0802677,0.0130513,62001,Y,1.88434622742858
KITLG.9377.25.3,GERAD,0.05,6.39962e-05,5.2907e-05,0.0234472,0.0233943,0.07,0.0152806,0.0340031,0.653151,21037,N,0.184986403892247
MMP9.2579.17.5,ADNI,0.001,0.00529479,0.00399171,0.0258389,0.0218472,0.07,-0.134242,0.0674295,0.0464976,788,Y,1.33256946288759
MMP9.2579.17.5,ANM,5e-05,0.00292986,0.00232372,0.116157,0.113833,0.07,0.105945,0.0783851,0.176506,61,N,0.753240526975299
MMP9.2579.17.5,GERAD,5e-08,0.000559445,0.000462534,0.0238568,0.0233943,0.07,-0.0445363,0.0333148,0.181278,2,N,0.741654898929019
NPPB.3723.1.2,ADNI,0.5,0.004026,0.00303413,0.0248813,0.0218472,0.07,0.125884,0.0724217,0.0821744,109510,N,1.08526345825504
NPPB.3723.1.2,ANM,1,0.00459361,0.00364565,0.117478,0.113833,0.07,0.13537,0.0800861,0.0909701,149999,N,1.04110132788542
NPPB.3723.1.2,GERAD,0.001,0.00118509,0.000979883,0.0243741,0.0233943,0.07,0.0657902,0.0340406,0.053273,780,N,1.27349284579524
PLG.3710.49.2,ADNI,0.5,0.00317997,0.00239598,0.0242431,0.0218472,0.07,-0.103342,0.0668831,0.122319,109613,N,0.912506078088355
PLG.3710.49.2,ANM,0.001,0.00757446,0.00601842,0.119851,0.113833,0.07,0.17298,0.079736,0.0300517,806,Y,1.52213095528399
PLG.3710.49.2,GERAD,5e-08,0.000409709,0.00033873,0.023733,0.0233943,0.07,-0.0389647,0.0343478,0.256619,6,N,0.590711191726968
PPY.4588.1.2,ADNI,5e-08,0.0079889,0.00602718,0.0278743,0.0218472,0.07,-0.165092,0.0676795,0.0147145,1,Y,1.83225449067822
PPY.4588.1.2,ANM,0.1,0.00190865,0.00151317,0.115346,0.113833,0.07,0.0866582,0.0794007,0.275095,37164,N,0.560517303075032
PPY.4588.1.2,GERAD,0.001,0.00110585,0.000914356,0.0243086,0.0233943,0.07,0.0634643,0.0339798,0.0618033,774,N,1.20898833504828
RETN.3046.31.1,ADNI,5e-04,0.00350251,0.00263923,0.0244864,0.0218472,0.07,0.108811,0.0671311,0.105046,413,N,0.978620480249954
RETN.3046.31.1,ANM,5e-04,0.00942106,0.00749111,0.121324,0.113833,0.07,-0.192608,0.0797786,0.0157662,414,Y,1.80227296855422
RETN.3046.31.1,GERAD,0.001,0.000590053,0.000487843,0.0238821,0.0233943,0.07,-0.046345,0.0339713,0.172493,771,N,0.763228524492489
SERPING1.4479.14.2,ADNI,5e-04,0.00317557,0.00239267,0.0242398,0.0218472,0.07,0.102363,0.0662919,0.122559,441,N,0.9116547912514
SERPING1.4479.14.2,ANM,5e-08,0.00461618,0.00366359,0.117496,0.113833,0.07,-0.134347,0.0792888,0.0901892,6,N,1.04484546535413
SERPING1.4479.14.2,GERAD,1,0.000609242,0.000503709,0.023898,0.0233943,0.07,-0.0472658,0.0340946,0.165651,146163,N,0.78080593803031
TF.4162.54.2,ADNI,5e-05,0.00155201,0.00116886,0.023016,0.0218472,0.07,-0.0719532,0.0666279,0.280175,57,N,0.552570619394406
TF.4162.54.2,ANM,5e-05,0.000776878,0.000615633,0.114448,0.113833,0.07,-0.0547298,0.0786148,0.486318,58,N,0.313079655671382
TF.4162.54.2,GERAD,5e-05,0.00046611,0.000385363,0.0237796,0.0233943,0.07,0.0411758,0.0339532,0.225236,57,N,0.647362193963567
TNC.4155.3.2,ADNI,5e-08,0.00321183,0.00242001,0.0242672,0.0218472,0.07,0.105353,0.0680831,0.121762,18,N,0.914488227017078
TNC.4155.3.2,ANM,0.1,0.00873159,0.006941,0.120774,0.113833,0.07,-0.187099,0.0805161,0.0201388,37164,Y,1.69596641108651
TNC.4155.3.2,GERAD,5e-08,0.000163022,0.000134775,0.023529,0.0233943,0.07,-0.0244458,0.0340341,0.472588,16,N,0.325517310210946
TNF.5936.53.3,ADNI,5e-08,0.00631423,0.00476157,0.0266087,0.0218472,0.07,-0.151513,0.0710094,0.0328671,1,Y,1.48323861382404
TNF.5936.53.3,ANM,0.05,0.00140633,0.00111472,0.114948,0.113833,0.07,0.0738263,0.078852,0.349137,21177,N,0.457004124132413
TNF.5936.53.3,GERAD,0.2,0.00024802,0.000205048,0.0235993,0.0233943,0.07,-0.0303663,0.0343322,0.376435,60769,N,0.424310003735213
VCAM1.2967.8.1,ADNI,0.1,0.00347736,0.00262027,0.0244674,0.0218472,0.07,0.109354,0.0677146,0.106328,36747,N,0.973352355004107
VCAM1.2967.8.1,ANM,0.5,0.0124572,0.00991716,0.12375,0.113833,0.07,0.22306,0.0804441,0.00555657,111450,Y,2.25519321017032
VCAM1.2967.8.1,GERAD,0.001,0.00070898,0.000586178,0.0239804,0.0233943,0.07,-0.0508514,0.0340106,0.134871,817,N,0.870081422410519
VTN.13125.45.3,ADNI,0.05,0.00212869,0.00160343,0.0234506,0.0218472,0.07,-0.0844645,0.0667983,0.206061,21363,N,0.686004196903582
VTN.13125.45.3,ANM,1,0.00509856,0.0040472,0.11788,0.113833,0.07,-0.141767,0.0795119,0.0745923,150046,N,1.12730600148316
VTN.13125.45.3,GERAD,5e-05,0.000261783,0.000216427,0.0236107,0.0233943,0.07,-0.030868,0.033968,0.363489,83,N,0.439508727340254
