Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_80,0.2,0.0197104,0.0148573,0.0367987,0.0219415,0.07,-0.26111,0.102296,0.0106958,61271,Y,1.97078672651163
ANGPT2.13660.76.3,ANM_80,5e-04,0.00267778,0.00219039,0.153652,0.151462,0.07,-0.106537,0.12149,0.380531,403,N,0.419609957604219
ANGPT2.13660.76.3,GERAD_80,5e-05,0.00237768,0.00195899,0.0436929,0.0417339,0.07,-0.0948145,0.0662084,0.152126,45,N,0.817796553918464
APCS.2474.54.5,ADNI_80,5e-08,0.00923636,0.00694184,0.0288833,0.0219415,0.07,-0.190652,0.113405,0.0927326,3,N,1.03276756346924
APCS.2474.54.5,ANM_80,0.01,0.0392566,0.0325303,0.183992,0.151462,0.07,-0.43441,0.132402,0.0010344,5771,Y,2.98531148812766
APCS.2474.54.5,GERAD_80,0.05,0.00552748,0.00455621,0.0462902,0.0417339,0.07,0.145669,0.0667932,0.029191,21022,Y,1.53475102707286
APOB.2797.56.2,ADNI_80,1,0.0116042,0.00872718,0.0306686,0.0219415,0.07,-0.197969,0.100477,0.0488044,146974,Y,1.3115410220633
APOB.2797.56.2,ANM_80,0.01,0.00829301,0.00679701,0.158259,0.151462,0.07,0.192359,0.125258,0.124611,5819,N,0.90444361876481
APOB.2797.56.2,GERAD_80,5e-04,0.00190473,0.00156921,0.0433032,0.0417339,0.07,-0.0845628,0.0659478,0.199749,412,N,0.69951538620956
APOE.2937.10.2,ADNI_80,5e-05,0.00506924,0.0038055,0.025747,0.0219415,0.07,-0.131574,0.101013,0.19273,54,N,0.715050678596326
APOE.2937.10.2,ANM_80,0.05,0.0101676,0.00833892,0.159801,0.151462,0.07,0.211592,0.124254,0.0885867,21305,N,1.05263147619633
APOE.2937.10.2,GERAD_80,0.05,0.00122946,0.00101279,0.0427467,0.0417339,0.07,-0.0678971,0.0658574,0.302554,21147,N,0.519197100981614
C3.2755.8.2,ADNI_80,0.1,0.00304739,0.00228641,0.0242279,0.0219415,0.07,-0.101708,0.100536,0.311705,36835,N,0.506256231232967
