Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
FGA.FGB.FGG.4907.56.1,GERAD_Females,0.001,0.000561504,0.000465464,0.018041,0.0175755,0.07,0.0416339,0.0436623,0.340314,763,N,0.468120184322699
GC.6581.50.3,ADNI_Females,5e-04,0.00454017,0.00330204,0.0167673,0.0134653,0.07,0.141975,0.0996051,0.154049,374,N,0.812341116534911
GC.6581.50.3,ANM_Females,0.001,0.00720151,0.00594485,0.161565,0.155621,0.07,0.180106,0.108393,0.0965932,775,N,1.01505344611478
GC.6581.50.3,GERAD_Females,1,0.00042067,0.000348712,0.0179242,0.0175755,0.07,-0.0360354,0.0442851,0.415809,146054,N,0.381106114792822
HP.3054.3.2,ADNI_Females,5e-05,0.00315208,0.00229147,0.0157567,0.0134653,0.07,0.117056,0.0990641,0.237356,119,N,0.624599785500472
HP.3054.3.2,ANM_Females,5e-05,0.0155006,0.0128377,0.168458,0.155621,0.07,-0.259036,0.111729,0.0204264,125,Y,1.68980816777288
HP.3054.3.2,GERAD_Females,5e-05,0.001177,0.000975762,0.0185513,0.0175755,0.07,0.0602221,0.0439799,0.170902,122,N,0.767252854869191
IGFBP2.2570.72.5,ADNI_Females,0.1,0.010453,0.00761691,0.0210822,0.0134653,0.07,-0.216246,0.10083,0.0319801,37037,Y,1.49512018257289
IGFBP2.2570.72.5,ANM_Females,0.001,0.00668305,0.00551574,0.161136,0.155621,0.07,-0.172663,0.106932,0.106377,777,N,0.973152261635454
IGFBP2.2570.72.5,GERAD_Females,5e-04,0.00119281,0.000988869,0.0185644,0.0175755,0.07,-0.0602912,0.0440415,0.17101,427,N,0.766978493012306
IL10.2773.50.2,ADNI_Females,1,0.0129944,0.00947656,0.0229418,0.0134653,0.07,0.263188,0.110809,0.0175413,146805,Y,1.75593822386022
IL10.2773.50.2,ANM_Females,5e-04,0.00941843,0.00778172,0.163402,0.155621,0.07,-0.200985,0.108626,0.0642791,415,N,1.19193021261451
IL10.2773.50.2,GERAD_Females,0.5,0.00334019,0.00276983,0.0203453,0.0175755,0.07,-0.102025,0.0442524,0.0211379,108887,Y,1.67493816100749
IL13.3072.4.2,ADNI_Females,0.001,0.00702383,0.00511249,0.0185778,0.0134653,0.07,0.177929,0.100519,0.0767098,781,N,1.11514914955761
