Protein,T_65.And.Over_no_apoe,P_65.And.Over_no_apoe,T_65.And.Over_with_apoe,P_65.And.Over_with_apoe,T_70.And.Over_no_apoe,P_70.And.Over_no_apoe,T_70.And.Over_with_apoe,P_70.And.Over_with_apoe,T_75.And.Over_no_apoe,P_75.And.Over_no_apoe,T_75.And.Over_with_apoe,P_75.And.Over_with_apoe,T_80.And.Over_no_apoe,P_80.And.Over_no_apoe,T_80.And.Over_with_apoe,P_80.And.Over_with_apoe,T_all_no_apoe,P_all_no_apoe,T_all_with_apoe,P_all_with_apoe,T_Females_no_apoe,P_Females_no_apoe,T_Females_with_apoe,P_Females_with_apoe,T_Males_no_apoe,P_Males_no_apoe,T_Males_with_apoe,P_Males_with_apoe
CLU.4542.24.2,1,0.220157455,1,0.19522585,1,0.248622302,1,0.23299213,5.00E-05,0.631485678,5.00E-05,0.631485678,5.00E-05,0.327823343,5.00E-05,0.327823343,0.01,0.193930154,0.01,0.200199841,5.00E-05,0.197669901,5.00E-05,0.197669901,0.05,0.004974739,0.05,0.005307258
CSF3.8952.65.3,0.5,0.306244372,0.5,0.279117664,0.05,0.410614474,0.05,0.42496466,5.00E-05,0.066441003,5.00E-05,0.066441003,5.00E-05,0.016373891,5.00E-05,0.016373891,0.5,0.150107818,0.5,0.132416903,1,0.067181723,1,0.058107977,5.00E-04,0.483011961,5.00E-04,0.483011961
IL13.3072.4.2,0.1,0.061663373,0.1,0.067368599,0.1,0.247798606,5.00E-04,0.257290004,0.05,0.046534751,0.05,0.04986048,0.1,0.005552539,0.1,0.005245477,0.1,0.035599214,0.1,0.039576726,0.01,0.093388941,0.01,0.096268682,5.00E-05,0.132713478,5.00E-05,0.132713478
CXCL8.3447.64.2,0.5,0.147071104,0.5,0.143300657,0.5,0.194145091,0.5,0.186796622,5.00E-04,0.09406017,5.00E-04,0.09406017,5.00E-04,0.03099937,5.00E-04,0.03099937,0.5,0.205654428,0.5,0.19981435,0.01,0.310644632,5.00E-04,0.317916344,0.01,0.073167856,0.01,0.07115337
KITLG.9377.25.3,0.2,0.238483326,0.2,0.224419213,0.2,0.247284555,0.2,0.231234981,0.001,0.128389167,0.001,0.128389167,0.001,0.051097557,0.001,0.051097557,0.2,0.2903834,0.2,0.276153603,0.2,0.123131463,0.2,0.11693729,5.00E-05,0.108679641,5.00E-05,0.108679641
MMP9.2579.17.5,0.001,0.132521313,0.001,0.132521313,5.00E-04,0.121382311,5.00E-04,0.121382311,0.001,0.11739715,0.001,0.11739715,5.00E-05,0.230743265,5.00E-05,0.230743265,0.001,0.061226061,0.001,0.061226061,5.00E-04,0.165852155,5.00E-04,0.165852155,0.05,0.345617256,0.05,0.356111363
NPPB.3723.1.2,5.00E-04,0.039497753,5.00E-04,0.056090358,5.00E-04,0.040881969,5.00E-04,0.052369467,5.00E-04,0.040301684,5.00E-04,0.047586575,5.00E-04,0.171056668,5.00E-04,0.183650308,5.00E-04,0.058011268,5.00E-04,0.084164481,0.001,0.030858371,0.001,0.051432838,0.5,0.073990641,0.5,0.076715111
PLG.3710.49.2,0.5,0.491240149,0.5,0.469364888,0.01,0.525117441,0.01,0.512400468,0.001,0.407224033,0.001,0.427947328,1,0.389193384,1,0.383422849,0.5,0.343580868,0.5,0.324832083,5.00E-08,0.374416928,5.00E-08,0.374416928,0.2,0.516196157,0.2,0.524869457
RETN.3046.31.1,5.00E-08,0.170663081,5.00E-08,0.170663081,5.00E-08,0.189713552,5.00E-08,0.189713552,1,0.216599045,1,0.227890663,5.00E-08,0.088673464,5.00E-08,0.088673464,5.00E-08,0.041022883,5.00E-08,0.041022883,5.00E-08,0.037718638,5.00E-08,0.037718638,0.1,0.572962451,0.1,0.573071529
TF.4162.54.2,0.5,0.447487308,0.5,0.454243917,0.001,0.541803538,0.001,0.541803538,0.2,0.361574784,0.2,0.347252753,0.2,0.011922057,0.2,0.010992314,0.5,0.339093852,0.5,0.345675652,5.00E-05,0.443995357,5.00E-05,0.443995357,0.5,0.171984856,0.5,0.179353744
TNC.4155.3.2,1,0.198953994,1,0.207067161,0.2,0.180815904,0.2,0.187605391,0.5,0.033770664,0.5,0.035460643,0.5,0.001969779,0.5,0.002032264,1,0.123755914,1,0.143727947,1,0.185209821,1,0.19145842,5.00E-05,0.278823737,5.00E-05,0.278823737
TNF.5936.53.3,5.00E-05,0.17809097,5.00E-05,0.17809097,0.5,0.052727127,0.5,0.0618886,5.00E-08,0.152621719,5.00E-08,0.152621719,0.1,0.091087142,0.1,0.08589223,5.00E-05,0.214314239,5.00E-05,0.214314239,5.00E-05,0.304293161,5.00E-05,0.304293161,0.01,0.055879605,0.01,0.052919979
VCAM1.2967.8.1,0.1,0.154284774,0.1,0.150724376,0.1,0.297029287,0.1,0.282832309,0.001,0.186932197,0.001,0.186932197,5.00E-08,0.061859938,5.00E-08,0.061859938,0.1,0.197856264,0.1,0.193763601,0.1,0.111073146,0.1,0.108163605,0.01,0.290366669,0.01,0.290366669
GC.6581.50.3,0.001,0.036219639,0.001,0.036219639,5.00E-04,0.041391182,5.00E-04,0.041391182,5.00E-04,0.013238401,5.00E-04,0.013238401,0.1,0.087824673,0.1,0.08484303,0.001,0.008739056,0.001,0.008739056,0.001,0.344666424,0.001,0.344666424,0.001,0.001779298,0.001,0.001779298
