Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_70,0.2,0.00694543,0.00519548,0.0249603,0.0197648,0.07,-0.151857,0.0708984,0.0322014,61306,Y,1.49212524634587
ANGPT2.13660.76.3,ANM_70,0.1,0.00177027,0.0014339,0.138826,0.137392,0.07,0.0863505,0.0870278,0.321091,37104,N,0.493371867292779
ANGPT2.13660.76.3,GERAD_70,5e-05,0.000661495,0.000529083,0.0348331,0.034304,0.07,-0.0488141,0.0393701,0.215021,45,N,0.667519122694885
APCS.2474.54.5,ADNI_70,5e-08,0.00695908,0.00520571,0.0249705,0.0197648,0.07,-0.162126,0.0784621,0.0388002,3,Y,1.41116603578021
APCS.2474.54.5,ANM_70,0.01,0.0156647,0.0127578,0.15015,0.137392,0.07,-0.260576,0.0891848,0.00348067,5771,Y,2.45833714993396
APCS.2474.54.5,GERAD_70,5e-04,0.000963391,0.000770593,0.0350746,0.034304,0.07,-0.0588445,0.039333,0.134638,426,N,0.87083234827566
APOB.2797.56.2,ADNI_70,0.01,0.00556211,0.00415907,0.0239239,0.0197648,0.07,-0.136201,0.0710357,0.0551931,5792,N,1.25811521247425
APOB.2797.56.2,ANM_70,0.01,0.00845564,0.00686702,0.144259,0.137392,0.07,0.187311,0.0867184,0.0307737,5827,Y,1.51182028428621
APOB.2797.56.2,GERAD_70,0.05,0.00122444,0.000979447,0.0352835,0.034304,0.07,0.0662696,0.0392953,0.0917087,21130,N,1.03758946277307
APOE.2937.10.2,ADNI_70,0.001,0.00287288,0.00214657,0.0219114,0.0197648,0.07,0.0977308,0.0708907,0.168014,774,N,0.774654528575195
APOE.2937.10.2,ANM_70,0.001,0.00549869,0.00446043,0.141853,0.137392,0.07,0.15068,0.0863206,0.080882,774,N,1.09214811831932
APOE.2937.10.2,GERAD_70,5e-05,0.0013794,0.00110343,0.0354075,0.034304,0.07,0.0706625,0.039507,0.0736779,54,N,1.13266276108766
C3.2755.8.2,ADNI_70,0.01,0.000937464,0.000700076,0.0204649,0.0197648,0.07,0.0558372,0.0708624,0.430716,5834,N,0.365808995006275
C3.2755.8.2,ANM_70,5e-04,0.0101153,0.0082202,0.145612,0.137392,0.07,0.206457,0.0874737,0.0182641,397,Y,1.73840172365266
C3.2755.8.2,GERAD_70,5e-05,0.00233031,0.00186444,0.0361685,0.034304,0.07,0.0914328,0.0393197,0.0200523,52,Y,1.69783580658392
C4A.C4B.4481.34.2,ADNI_70,0.05,0.00172437,0.001288,0.0210528,0.0197648,0.07,0.0753271,0.0704801,0.285173,21244,N,0.544891595601717
C4A.C4B.4481.34.2,ANM_70,0.05,0.0014605,0.00118285,0.138575,0.137392,0.07,0.0774474,0.085948,0.367537,21421,N,0.434698933894142
C4A.C4B.4481.34.2,GERAD_70,1,0.000151177,0.000120904,0.0344249,0.034304,0.07,0.0232533,0.0392128,0.55318,146009,N,0.257133530020886
CCL26.9168.31.3,ADNI_70,0.05,0.00152132,0.00113627,0.0209011,0.0197648,0.07,-0.0707026,0.0704345,0.315472,21464,N,0.501039180905185
CCL26.9168.31.3,ANM_70,5e-05,0.00346346,0.00280724,0.140199,0.137392,0.07,-0.120055,0.0865924,0.165613,69,N,0.780905575723417
CCL26.9168.31.3,GERAD_70,1,0.000499616,0.000399596,0.0347036,0.034304,0.07,-0.0425048,0.0394386,0.281147,145683,N,0.551066546301464
CFH.4159.130.1,ADNI_70,5e-08,0.0043375,0.00324225,0.0230071,0.0197648,0.07,-0.120803,0.0713838,0.090587,6,N,1.04293412277967
CFH.4159.130.1,ANM_70,0.001,0.00271253,0.00219795,0.13959,0.137392,0.07,-0.106761,0.0869983,0.219762,817,N,0.65804740116207
CFH.4159.130.1,GERAD_70,0.01,0.00137818,0.00110246,0.0354065,0.034304,0.07,-0.0704806,0.0393809,0.0734996,5978,N,1.13371502442962
