Protein,Threshold,nSNP,Total_Sample_n,beta,z,p,ci_lower,ci_upper,se,i2,Q,Q-p,r,r2,Significant,P_MinusLog10
ANGPT2.13660.76.3,5e-05,45,6237,-0.0276916388213243,-0.741714324660091,0.458260438906985,-0.100866192632941,0.0454829149902924,0.0373346420591441,0,0.478005105981119,0.787412872112493,-0.00939289091616467,8.82263997629689e-05,N,0.33888763327668
ANGPT2.13660.76.3,5e-04,401,6237,-0.0249744683843533,-0.670302198310523,0.502665166045295,-0.0979998272295745,0.048050890460868,0.0372585207795837,0,1.10586026867791,0.575261744267247,-0.00848861364518934,7.20565616172947e-05,N,0.298721209696293
ANGPT2.13660.76.3,0.001,774,6237,-0.00988420416699316,-0.213897706713348,0.830626828627439,-0.100454058705496,0.0806856503715099,0.0462099585772527,24.5929992302978,2.47491250887403,0.29012127480456,-0.00270885841401636,7.33791390718724e-06,N,0.0805940456115438
ANGPT2.13660.76.3,0.01,5741,6237,0.00903182606130142,0.24291622043137,0.808070299779203,-0.0638412565321367,0.0819049086547395,0.0371808273867539,0,0.741832773320868,0.690101640849371,0.00307635345057527,9.46395055286635e-06,N,0.0925508552178611
ANGPT2.13660.76.3,0.05,21111,6237,-0.0213504341516803,-0.573272525943397,0.566460184677535,-0.0943455282785511,0.0516446599751906,0.0372430793130113,0,0.438850706350455,0.802980095370399,-0.00725991363811164,5.27063460328393e-05,N,0.246830610394621
ANGPT2.13660.76.3,0.1,36729,6237,-0.0176139547142941,-0.460761120443139,0.644969998704651,-0.0925393668934587,0.0573114574648706,0.0382279535594362,2.69503115402806,1.93010952319439,0.380962337062058,-0.00583512552593162,3.40486899033788e-05,N,0.190460486450084
ANGPT2.13660.76.3,0.2,61303,6237,-0.0578449825259545,-1.09986909898337,0.271389160141902,-0.160924596765516,0.0452346317136067,0.0525926063196263,38.5332655556381,3.12210054301326,0.209915487129526,-0.0139277398118122,0.000193981936265539,N,0.566407502971687
ANGPT2.13660.76.3,0.5,109731,6237,-0.0355351181124366,-0.823059457242403,0.410474182732546,-0.120155434511086,0.0490851982862127,0.0431744241558129,16.7644655468769,2.39483954287543,0.301972365295648,-0.0104229196306283,0.000108637253626536,N,0.386714153159379
ANGPT2.13660.76.3,1,147341,6237,-0.0326358896043334,-0.739297366657618,0.459726448004877,-0.119157458749245,0.0538856795405787,0.0441444688919711,19.3237998540456,2.62069759583023,0.269725960122808,-0.00936228583149157,8.76523959905477e-05,N,0.337500510623916
APCS.2474.54.5,5e-08,3,6237,-0.0615248588699873,-1.41387448453349,0.157398758848959,-0.146812845079649,0.0237631273396744,0.0435150782781737,13.4085064338104,1.96594580072214,0.374196993233159,-0.0179028848539567,0.000320513286094033,N,0.802998696546036
APCS.2474.54.5,5e-05,50,6237,-0.063054504791604,-1.68347963351718,0.0922822787841818,-0.136464694017568,0.0103556844343594,0.0374548664184718,0,0.972313215748386,0.614985488201593,-0.0213152758058928,0.000454340982681278,N,1.03488168971254
APCS.2474.54.5,5e-04,426,6237,-0.0252972157206535,-0.677287911855332,0.498223299014946,-0.0985033528061358,0.0479089213648287,0.037350756270484,0,0.807547932399711,0.667795048463484,-0.00857707327363772,7.35661859413504e-05,N,0.302575966889785
APCS.2474.54.5,0.001,774,6237,0.000862153153638524,0.0231606957690828,0.981522090423186,-0.0720971891362781,0.0738214954435551,0.0372248382446874,0,0.048294182570972,0.976142117198725,0.000293314379391278,8.60333251576905e-08,N,0.00809992159537417
APCS.2474.54.5,0.01,5759,6237,-0.0559668682130764,-0.576056861084473,0.564576748632137,-0.246387386456056,0.134453650029903,0.0971551108821347,80.5798083724226,8.34389367456971,0.0154222063521591,-0.00729517253953669,5.32195423816102e-05,N,0.248277011680938
APCS.2474.54.5,0.05,21165,6237,-0.0312390658849805,-0.482456431897344,0.629481741241571,-0.158146782307058,0.0956686505370972,0.064750024706122,56.5483618476043,4.52836909232317,0.103914737672059,-0.00610986712293154,3.73304762598798e-05,N,0.201016862526786
APCS.2474.54.5,0.1,36786,6237,-0.0352564000331363,-0.934010769520729,0.350298337732254,-0.109239780679745,0.0387269806134723,0.0377473163946787,0.0658294439113523,1.98699828813451,0.370278762791379,-0.0118277810013589,0.000139896403416107,N,0.455561923531358
APCS.2474.54.5,0.2,61193,6237,-0.00145523868848603,-0.0386027973491485,0.969207071994707,-0.0753414752879906,0.0724309979110185,0.0376977521945861,0.0041435990442455,2.44877900675119,0.293937093161762,-0.000488878002375716,2.3900170120687e-07,N,0.0135834256147297
APCS.2474.54.5,0.5,109671,6237,-0.000400156097504304,-0.00753573729718583,0.993987408462873,-0.104476440656339,0.10367612846133,0.0531011209286369,37.991323545499,3.47691694348273,0.175791178927102,-9.54349651510083e-05,9.10783257337418e-09,N,0.00261911708128737
