Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_70,0.2,0.0071714,0.00536486,0.0251297,0.0197648,0.07,-0.15434,0.070918,0.0295315,61322,Y,1.52971449325916
ANGPT2.13660.76.3,ANM_70,0.1,0.00178307,0.00144428,0.138836,0.137392,0.07,0.0866629,0.0870276,0.319343,37111,N,0.495742599138663
ANGPT2.13660.76.3,GERAD_70,5e-05,0.000661495,0.000529083,0.0348331,0.034304,0.07,-0.0488141,0.0393701,0.215021,45,N,0.667519122694885
APCS.2474.54.5,ADNI_70,5e-08,0.00695908,0.00520571,0.0249705,0.0197648,0.07,-0.162126,0.0784621,0.0388002,3,Y,1.41116603578021
APCS.2474.54.5,ANM_70,0.01,0.0156818,0.0127719,0.150164,0.137392,0.07,-0.260805,0.0892198,0.00346479,5772,Y,2.4603230827275
APCS.2474.54.5,GERAD_70,5e-04,0.000963391,0.000770593,0.0350746,0.034304,0.07,-0.0588445,0.039333,0.134638,426,N,0.87083234827566
APOB.2797.56.2,ADNI_70,5e-08,0.0988043,0.0758786,0.0956434,0.0197648,0.07,0.634039,0.0823198,1.33799e-14,2,Y,13.8735471324285
APOB.2797.56.2,ANM_70,5e-08,0.0819072,0.0684976,0.20589,0.137392,0.07,0.657079,0.10336,2.05491e-10,2,Y,9.68720719440071
APOB.2797.56.2,GERAD_70,5e-08,0.0633311,0.0512544,0.0855584,0.034304,0.07,0.483408,0.0404658,6.80623e-33,2,Y,32.1670933790658
APOE.2937.10.2,ADNI_70,5e-08,0.0181967,0.0136553,0.0334201,0.0197648,0.07,0.244223,0.0708213,0.000563848,5,Y,3.24883795569429
APOE.2937.10.2,ANM_70,5e-08,0.0173599,0.0141479,0.15154,0.137392,0.07,0.283053,0.0932592,0.00240442,4,Y,2.61898966822068
APOE.2937.10.2,GERAD_70,5e-08,0.0190728,0.0153077,0.0496117,0.034304,0.07,0.252288,0.0376168,1.98962e-11,4,Y,10.7012298621139
C3.2755.8.2,ADNI_70,0.01,0.000895445,0.000668689,0.0204335,0.0197648,0.07,0.0545666,0.070854,0.441225,5835,N,0.355339888220853
C3.2755.8.2,ANM_70,5e-04,0.0101153,0.0082202,0.145612,0.137392,0.07,0.206457,0.0874737,0.0182641,397,Y,1.73840172365266
C3.2755.8.2,GERAD_70,5e-05,0.00233031,0.00186444,0.0361685,0.034304,0.07,0.0914328,0.0393197,0.0200523,52,Y,1.69783580658392
C4A.C4B.4481.34.2,ADNI_70,0.05,0.00168673,0.00125988,0.0210247,0.0197648,0.07,0.0744895,0.0704688,0.290486,21251,N,0.53687479363255
C4A.C4B.4481.34.2,ANM_70,0.05,0.00152504,0.00123515,0.138627,0.137392,0.07,0.0791506,0.0859631,0.35718,21427,N,0.447112867064603
C4A.C4B.4481.34.2,GERAD_70,1,0.00015329,0.000122594,0.0344266,0.034304,0.07,0.0234157,0.0392135,0.550418,146060,N,0.259307372060244
CCL26.9168.31.3,ADNI_70,0.05,0.00152798,0.00114125,0.0209061,0.0197648,0.07,-0.0708586,0.0704362,0.314417,21469,N,0.502493980423357
CCL26.9168.31.3,ANM_70,5e-05,0.00346346,0.00280724,0.140199,0.137392,0.07,-0.120055,0.0865924,0.165613,69,N,0.780905575723417
CCL26.9168.31.3,GERAD_70,1,0.00054462,0.000435594,0.0347396,0.034304,0.07,-0.0443791,0.0394403,0.260494,145732,N,0.584202275423577
CFH.4159.130.1,ADNI_70,5e-08,0.0043375,0.00324225,0.0230071,0.0197648,0.07,-0.120803,0.0713838,0.090587,6,N,1.04293412277967
CFH.4159.130.1,ANM_70,0.001,0.00271253,0.00219795,0.13959,0.137392,0.07,-0.106761,0.0869983,0.219762,817,N,0.65804740116207
CFH.4159.130.1,GERAD_70,0.01,0.00141494,0.00113187,0.0354359,0.034304,0.07,-0.0714294,0.0393901,0.0697725,5982,N,1.15631571565131
CLU.4542.24.2,ADNI_70,5e-05,0.00169129,0.00126328,0.0210281,0.0197648,0.07,-0.0750907,0.0709843,0.290125,50,N,0.537414846536026
CLU.4542.24.2,ANM_70,0.001,0.006336,0.00514132,0.142533,0.137392,0.07,-0.165366,0.0884465,0.0615294,740,N,1.21091731988612
CLU.4542.24.2,GERAD_70,5e-05,0.000550246,0.000440094,0.0347441,0.034304,0.07,0.0443767,0.039234,0.258022,50,N,0.588343262752803
CRP.4337.49.2,ADNI_70,5e-08,0.0556177,0.0421844,0.0619492,0.0197648,0.07,-0.447856,0.0751418,2.52009e-09,5,Y,8.59858394897821
CRP.4337.49.2,ANM_70,5e-08,0.0149734,0.0121915,0.149584,0.137392,0.07,-0.252841,0.088128,0.00411741,5,Y,2.38537588503752
CRP.4337.49.2,GERAD_70,5e-08,0.0118808,0.00952262,0.0438266,0.034304,0.07,-0.208525,0.039834,1.65112e-07,5,Y,6.78222136196194
CSF3.8952.65.3,ADNI_70,5e-05,0.000759772,0.000567351,0.0203322,0.0197648,0.07,0.0514686,0.0724968,0.477739,44,N,0.320809303842387
CSF3.8952.65.3,ANM_70,5e-04,0.0097503,0.00792248,0.145315,0.137392,0.07,-0.204218,0.087987,0.0202866,438,Y,1.69279073389172
CSF3.8952.65.3,GERAD_70,0.5,0.000269971,0.000215915,0.0345199,0.034304,0.07,0.0315238,0.0397826,0.428127,108949,N,0.368427382347301
CXCL8.3447.64.2,ADNI_70,1,0.00802271,0.00600316,0.025768,0.0197648,0.07,0.178788,0.0777332,0.0214473,147445,Y,1.66862737335837
CXCL8.3447.64.2,ANM_70,5e-05,0.0019618,0.00158917,0.138981,0.137392,0.07,0.0908394,0.0870682,0.296803,35,N,0.527531713646174
CXCL8.3447.64.2,GERAD_70,5e-05,0.00230506,0.00184422,0.0361482,0.034304,0.07,-0.0908026,0.0392537,0.0207105,35,Y,1.68380941609352
FGA.FGB.FGG.4907.56.1,ADNI_70,5e-05,0.0105047,0.0078659,0.0276307,0.0197648,0.07,0.187776,0.0714293,0.0085679,52,Y,2.06712561100225
FGA.FGB.FGG.4907.56.1,ANM_70,5e-05,0.003325,0.00269487,0.140087,0.137392,0.07,0.117876,0.0867661,0.174289,52,N,0.758730021897764
FGA.FGB.FGG.4907.56.1,GERAD_70,0.001,0.000339626,0.000271627,0.0345757,0.034304,0.07,0.0348836,0.0392516,0.374154,762,N,0.426949607467161
GC.6581.50.3,ADNI_70,5e-04,0.00613925,0.00459138,0.0243562,0.0197648,0.07,0.145499,0.0723364,0.0442811,374,Y,1.35378159922068
GC.6581.50.3,ANM_70,0.05,0.0117302,0.00953862,0.146931,0.137392,0.07,0.232319,0.0914072,0.0110351,21021,Y,1.9572237269109
GC.6581.50.3,GERAD_70,5e-05,0.00151546,0.0012123,0.0355163,0.034304,0.07,0.0739472,0.0394318,0.0607489,53,N,1.21646158156924
HP.3054.3.2,ADNI_70,0.2,0.00164598,0.00122943,0.0209942,0.0197648,0.07,-0.0736023,0.0704773,0.296328,61429,N,0.528227310143422
HP.3054.3.2,ANM_70,5e-05,0.00447005,0.00362455,0.141017,0.137392,0.07,-0.137512,0.087358,0.11546,124,N,0.937568446837388
HP.3054.3.2,GERAD_70,5e-08,0.00166519,0.00133212,0.0356361,0.034304,0.07,0.0771939,0.0392928,0.0494628,48,Y,1.30572130265062
IGFBP2.2570.72.5,ADNI_70,5e-05,0.0111477,0.00834884,0.0281136,0.0197648,0.07,0.194526,0.0718726,0.0067989,65,Y,2.16756134649578
IGFBP2.2570.72.5,ANM_70,5e-05,0.00253304,0.00205236,0.139444,0.137392,0.07,-0.101856,0.0858576,0.235492,65,N,0.628023841889093
IGFBP2.2570.72.5,GERAD_70,1,0.00103791,0.000830211,0.0351342,0.034304,0.07,-0.061477,0.0395698,0.120272,145711,N,0.91983546709798
IL10.2773.50.2,ADNI_70,0.5,0.00675306,0.00505131,0.0248161,0.0197648,0.07,0.166783,0.0790714,0.0349211,109857,Y,1.45691208465702
IL10.2773.50.2,ANM_70,5e-05,0.000577932,0.000467902,0.13786,0.137392,0.07,-0.0489621,0.0863474,0.570689,48,N,0.243600498373315
IL10.2773.50.2,GERAD_70,1,0.000833882,0.000666985,0.034971,0.034304,0.07,-0.054858,0.03941,0.163928,145996,N,0.785346859688144
IL13.3072.4.2,ADNI_70,0.001,0.00572531,0.0042813,0.0240461,0.0197648,0.07,0.141546,0.0727528,0.0517055,781,N,1.28646325782278
IL13.3072.4.2,ANM_70,5e-05,0.00347127,0.00281359,0.140206,0.137392,0.07,0.121335,0.0873895,0.165001,54,N,0.782513423706301
IL13.3072.4.2,GERAD_70,5e-05,0.000264499,0.000211539,0.0345156,0.034304,0.07,-0.030686,0.0391233,0.43284,54,N,0.363672611634012
IL3.4717.55.2,ADNI_70,0.001,0.00257782,0.00192594,0.0216908,0.0197648,0.07,-0.0936066,0.0716995,0.191709,805,N,0.717357498188251
IL3.4717.55.2,ANM_70,0.001,0.00380606,0.00308535,0.140477,0.137392,0.07,-0.128559,0.0883864,0.145806,809,N,0.836224604184874
IL3.4717.55.2,GERAD_70,5e-05,0.000572453,0.000457857,0.0347619,0.034304,0.07,-0.044935,0.0389467,0.2486,46,N,0.604498875694374
KITLG.9377.25.3,ADNI_70,5e-05,0.00127228,0.000950196,0.020715,0.0197648,0.07,-0.0650948,0.070866,0.358325,51,N,0.445722890457153
KITLG.9377.25.3,ANM_70,0.1,0.0101307,0.00823279,0.145625,0.137392,0.07,-0.206671,0.0872761,0.017884,36864,Y,1.74753533880401
KITLG.9377.25.3,GERAD_70,5e-05,0.000370774,0.00029654,0.0346006,0.034304,0.07,0.0363452,0.0391504,0.353226,51,N,0.451947336688622
MMP9.2579.17.5,ADNI_70,0.001,0.00493689,0.00369091,0.0234557,0.0197648,0.07,-0.129417,0.0716776,0.0709909,788,N,1.14879731794394
MMP9.2579.17.5,ANM_70,5e-05,0.00347714,0.00281835,0.14021,0.137392,0.07,0.118258,0.0851119,0.1647,61,N,0.783306400830246
MMP9.2579.17.5,GERAD_70,5e-04,0.000602405,0.000481816,0.0347858,0.034304,0.07,-0.0464168,0.0392207,0.236621,426,N,0.62594671457114
NPPB.3723.1.2,ADNI_70,0.5,0.00449462,0.00335984,0.0231247,0.0197648,0.07,0.133083,0.0771971,0.0847194,109534,N,1.07201712865142
NPPB.3723.1.2,ANM_70,0.001,0.0018724,0.00151669,0.138909,0.137392,0.07,-0.0870854,0.0853934,0.307817,778,N,0.511707398792014
NPPB.3723.1.2,GERAD_70,0.001,0.00299529,0.00239677,0.0367008,0.034304,0.07,0.103551,0.039285,0.00839158,781,Y,2.07615626078292
PLG.3710.49.2,ADNI_70,0.5,0.00928371,0.00694921,0.026714,0.0197648,0.07,-0.176796,0.0714912,0.0133994,109563,Y,1.87291464809214
PLG.3710.49.2,ANM_70,0.001,0.00776925,0.00630789,0.1437,0.137392,0.07,0.181236,0.0873973,0.0381066,808,Y,1.41899979872482
PLG.3710.49.2,GERAD_70,0.2,0.00166324,0.00133056,0.0356346,0.034304,0.07,0.0774768,0.0394128,0.0493243,60741,Y,1.30693906944718
PPY.4588.1.2,ADNI_70,5e-08,0.0099804,0.00747218,0.027237,0.0197648,0.07,-0.183886,0.0718662,0.0105058,1,Y,1.97857087116314
PPY.4588.1.2,ANM_70,5e-08,0.00252226,0.00204361,0.139436,0.137392,0.07,-0.101922,0.0860811,0.236404,1,N,0.62634517938456
PPY.4588.1.2,GERAD_70,0.001,0.00147634,0.001181,0.035485,0.034304,0.07,0.0724888,0.0391278,0.0639376,774,N,1.19424366969584
RETN.3046.31.1,ADNI_70,0.001,0.00611966,0.0045767,0.0243415,0.0197648,0.07,0.143115,0.0712711,0.04464,769,Y,1.35027581407048
RETN.3046.31.1,ANM_70,5e-04,0.0125926,0.0102434,0.147635,0.137392,0.07,-0.230487,0.0877082,0.00859176,415,Y,2.06591786294473
RETN.3046.31.1,GERAD_70,5e-05,0.000752917,0.000602216,0.0349062,0.034304,0.07,0.0521084,0.0394005,0.185991,58,N,0.730508070539634
SERPING1.4479.14.2,ADNI_70,1,0.00432757,0.00323482,0.0229996,0.0197648,0.07,-0.121588,0.0718718,0.0906978,147463,N,1.04240324722268
SERPING1.4479.14.2,ANM_70,5e-08,0.0116644,0.00948491,0.146877,0.137392,0.07,-0.221895,0.0875975,0.0113053,6,Y,1.94671790862903
SERPING1.4479.14.2,GERAD_70,0.001,0.000590005,0.000471898,0.0347759,0.034304,0.07,0.0458857,0.0391713,0.241434,845,N,0.617201570309
TF.4162.54.2,ADNI_70,0.001,0.00188595,0.00140876,0.0211736,0.0197648,0.07,0.0787079,0.0704233,0.263721,760,N,0.578855286129994
TF.4162.54.2,ANM_70,0.5,0.000853659,0.00069121,0.138083,0.137392,0.07,-0.0592755,0.0860193,0.490763,110879,N,0.309128187390744
TF.4162.54.2,GERAD_70,0.01,0.000153364,0.000122653,0.0344267,0.034304,0.07,-0.0234127,0.0392068,0.550402,5761,N,0.259319996670464
TNC.4155.3.2,ADNI_70,5e-04,0.00439601,0.00328604,0.0230508,0.0197648,0.07,-0.121502,0.0712414,0.0881013,447,N,1.0550176832036
TNC.4155.3.2,ANM_70,0.05,0.0072416,0.00587826,0.14327,0.137392,0.07,-0.175128,0.0877465,0.0459518,21353,Y,1.3376974719872
TNC.4155.3.2,GERAD_70,0.5,0.000314666,0.000251663,0.0345557,0.034304,0.07,-0.0336266,0.0393079,0.392293,108792,N,0.4063894412676
TNF.5936.53.3,ADNI_70,5e-08,0.00570219,0.00426399,0.0240288,0.0197648,0.07,-0.142397,0.0745848,0.0562364,1,N,1.24998248866705
TNF.5936.53.3,ANM_70,5e-05,0.00180311,0.00146052,0.138853,0.137392,0.07,-0.0861838,0.0861295,0.317005,37,N,0.498933887765578
TNF.5936.53.3,GERAD_70,0.5,0.0019906,0.00159254,0.0358966,0.034304,0.07,-0.085245,0.0396584,0.031596,108767,Y,1.50036789484631
VCAM1.2967.8.1,ADNI_70,0.1,0.00288906,0.00215867,0.0219235,0.0197648,0.07,0.0989212,0.0715319,0.166696,36763,N,0.778074821280393
VCAM1.2967.8.1,ANM_70,1,0.00802139,0.00651324,0.143905,0.137392,0.07,0.180912,0.0859231,0.0352465,149676,Y,1.45288400225142
VCAM1.2967.8.1,GERAD_70,1,0.000679196,0.000543244,0.0348473,0.034304,0.07,-0.0491988,0.0391469,0.208836,145881,N,0.680194633765116
VTN.13125.45.3,ADNI_70,1,0.00513313,0.00383784,0.0236026,0.0197648,0.07,-0.130446,0.0708933,0.0657631,147336,N,1.18201772282261
VTN.13125.45.3,ANM_70,5e-05,0.00767931,0.00623464,0.143627,0.137392,0.07,0.178986,0.0870081,0.0396751,82,Y,1.40148196994442
VTN.13125.45.3,GERAD_70,0.001,0.000947211,0.000757648,0.0350617,0.034304,0.07,0.0581147,0.0391595,0.137795,824,N,0.860766540859495
