Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
ANGPT2.13660.76.3,ADNI_80,0.2,0.0202574,0.0152719,0.0372134,0.0219415,0.07,-0.264817,0.102356,0.00967542,61287,Y,2.01433017362447
ANGPT2.13660.76.3,ANM_80,5e-04,0.00267778,0.00219039,0.153652,0.151462,0.07,-0.106537,0.12149,0.380531,403,N,0.419609957604219
ANGPT2.13660.76.3,GERAD_80,5e-05,0.00237768,0.00195899,0.0436929,0.0417339,0.07,-0.0948145,0.0662084,0.152126,45,N,0.817796553918464
APCS.2474.54.5,ADNI_80,5e-08,0.00923636,0.00694184,0.0288833,0.0219415,0.07,-0.190652,0.113405,0.0927326,3,N,1.03276756346924
APCS.2474.54.5,ANM_80,0.01,0.0395983,0.0328174,0.184279,0.151462,0.07,-0.436462,0.132469,0.00098487,5772,Y,3.00662109133858
APCS.2474.54.5,GERAD_80,0.05,0.00555485,0.00457878,0.0463127,0.0417339,0.07,0.146045,0.0668016,0.0287976,21029,Y,1.54064370495565
APOB.2797.56.2,ADNI_80,5e-08,0.0554572,0.0422242,0.0641657,0.0219415,0.07,0.453813,0.107611,2.47396e-05,2,Y,4.60660732650145
APOB.2797.56.2,ANM_80,5e-08,0.0590628,0.049291,0.200753,0.151462,0.07,0.536455,0.136053,8.04714e-05,2,Y,4.09435844297545
APOB.2797.56.2,GERAD_80,5e-08,0.0448729,0.0372004,0.0789344,0.0417339,0.07,0.409715,0.0661207,5.77407e-10,2,Y,9.23851795539997
APOE.2937.10.2,ADNI_80,0.001,0.00566178,0.00425103,0.0261925,0.0219415,0.07,0.139275,0.101118,0.168401,785,N,0.773655333898172
APOE.2937.10.2,ANM_80,5e-05,0.013389,0.0109934,0.162455,0.151462,0.07,0.237605,0.122203,0.0518545,63,N,1.2852135490075
APOE.2937.10.2,GERAD_80,5e-08,0.0131003,0.0108102,0.0525442,0.0417339,0.07,0.212648,0.0624428,0.000660485,4,Y,3.18013704101872
C3.2755.8.2,ADNI_80,0.1,0.00279821,0.00209931,0.0240408,0.0219415,0.07,-0.0974373,0.100502,0.332291,36846,N,0.478481421295075
C3.2755.8.2,ANM_80,5e-04,0.0215037,0.0177071,0.169169,0.151462,0.07,0.306847,0.124809,0.0139509,397,Y,1.85539777429535
C3.2755.8.2,GERAD_80,0.1,0.00133919,0.0011032,0.0428371,0.0417339,0.07,-0.0704186,0.0654316,0.28183,36663,N,0.550012779356572
C4A.C4B.4481.34.2,ADNI_80,0.001,0.0112011,0.00842312,0.0303646,0.0219415,0.07,-0.196164,0.101727,0.0538126,807,N,1.26911602415172
C4A.C4B.4481.34.2,ANM_80,0.001,0.00353327,0.00289104,0.154353,0.151462,0.07,0.125745,0.125058,0.314658,817,N,0.502161222086881
C4A.C4B.4481.34.2,GERAD_80,0.001,0.00221934,0.00182848,0.0435624,0.0417339,0.07,0.0913114,0.065839,0.165476,805,N,0.781264985715391
CCL26.9168.31.3,ADNI_80,5e-05,0.00279327,0.00209559,0.024037,0.0219415,0.07,0.0965473,0.0997073,0.332891,69,N,0.477697946216639
CCL26.9168.31.3,ANM_80,5e-08,0.0198362,0.0163243,0.167786,0.151462,0.07,-0.301712,0.127123,0.0176261,1,Y,1.75384377027852
CCL26.9168.31.3,GERAD_80,0.5,0.00115566,0.000951984,0.0426859,0.0417339,0.07,-0.0664671,0.0664886,0.317467,108623,N,0.498301411986974
CFH.4159.130.1,ADNI_80,5e-08,0.0154909,0.0116629,0.0336044,0.0219415,0.07,-0.23472,0.103608,0.0234839,6,Y,1.62922977761905
CFH.4159.130.1,ANM_80,0.001,0.0133873,0.0109921,0.162454,0.151462,0.07,-0.245232,0.125701,0.0510662,818,N,1.29186645818974
CFH.4159.130.1,GERAD_80,0.01,0.00237775,0.00195904,0.043693,0.0417339,0.07,-0.0958158,0.0668689,0.151889,5990,N,0.818473677172656
CLU.4542.24.2,ADNI_80,0.05,0.00560219,0.00420622,0.0261477,0.0219415,0.07,-0.137817,0.100683,0.171053,21087,N,0.766869304571462
CLU.4542.24.2,ANM_80,0.001,0.005206,0.00426223,0.155724,0.151462,0.07,-0.15349,0.125871,0.222684,740,N,0.652310986205025
CLU.4542.24.2,GERAD_80,5e-05,0.00133118,0.0010966,0.0428305,0.0417339,0.07,0.0706853,0.0658812,0.283307,50,N,0.5477426947213
CRP.4337.49.2,ADNI_80,5e-08,0.062916,0.0480044,0.0699458,0.0219415,0.07,-0.482635,0.107173,6.6891e-06,5,Y,5.1746323114291
CRP.4337.49.2,ANM_80,5e-08,0.00864028,0.0070825,0.158544,0.151462,0.07,-0.197451,0.12567,0.116139,5,N,0.935021917723666
CRP.4337.49.2,GERAD_80,5e-08,0.00407712,0.00335999,0.0450939,0.0417339,0.07,-0.124483,0.0664076,0.0608579,5,N,1.21568303775089
CSF3.8952.65.3,ADNI_80,0.01,0.00373562,0.00280331,0.0247448,0.0219415,0.07,0.133207,0.119006,0.262998,5986,N,0.580047554142434
CSF3.8952.65.3,ANM_80,5e-04,0.00948859,0.0077802,0.159242,0.151462,0.07,-0.209213,0.127101,0.0997547,437,N,1.00106663312514
CSF3.8952.65.3,GERAD_80,5e-05,0.00444675,0.0036648,0.0453987,0.0417339,0.07,0.129598,0.0661933,0.0502457,44,N,1.29890109900555
CXCL8.3447.64.2,ADNI_80,5e-04,0.00921461,0.00692545,0.0288669,0.0219415,0.07,0.178148,0.101694,0.0798082,372,N,1.09795248419069
CXCL8.3447.64.2,ANM_80,5e-05,0.00161531,0.00132081,0.152783,0.151462,0.07,0.0835668,0.122788,0.496138,35,N,0.304397508383501
CXCL8.3447.64.2,GERAD_80,5e-04,0.00269201,0.00221806,0.043952,0.0417339,0.07,0.10066,0.0659957,0.127198,373,N,0.895519717270879
FGA.FGB.FGG.4907.56.1,ADNI_80,5e-05,0.0100034,0.00751997,0.0294614,0.0219415,0.07,0.184476,0.100898,0.0674978,52,N,1.17071038218276
FGA.FGB.FGG.4907.56.1,ANM_80,1,0.00928228,0.00761048,0.159072,0.151462,0.07,-0.208804,0.128638,0.104548,148255,N,0.980684270806824
FGA.FGB.FGG.4907.56.1,GERAD_80,0.001,0.000798781,0.000657969,0.0423919,0.0417339,0.07,0.0549169,0.0660809,0.405942,762,N,0.391536012923648
GC.6581.50.3,ADNI_80,0.1,0.00958338,0.00720335,0.0291448,0.0219415,0.07,0.21247,0.118844,0.073808,36374,N,1.13189656273581
GC.6581.50.3,ANM_80,5e-05,0.00177536,0.00145176,0.152914,0.151462,0.07,-0.0888916,0.124437,0.475009,53,N,0.323298161715537
GC.6581.50.3,GERAD_80,5e-04,0.00234555,0.0019325,0.0436664,0.0417339,0.07,0.0947748,0.0666132,0.154805,373,N,0.810215016280121
HP.3054.3.2,ADNI_80,0.1,0.0055986,0.00420352,0.026145,0.0219415,0.07,-0.137816,0.100649,0.170913,37276,N,0.767224902676908
