Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
FGA.FGB.FGG.4907.56.1,GERAD_Females,0.001,0.000561504,0.000465464,0.018041,0.0175755,0.07,0.0416339,0.0436623,0.340314,763,N,0.468120184322699
GC.6581.50.3,ADNI_Females,5e-04,0.00454017,0.00330204,0.0167673,0.0134653,0.07,0.141975,0.0996051,0.154049,374,N,0.812341116534911
GC.6581.50.3,ANM_Females,0.001,0.00720151,0.00594485,0.161565,0.155621,0.07,0.180106,0.108393,0.0965932,775,N,1.01505344611478
GC.6581.50.3,GERAD_Females,1,0.000429876,0.000356344,0.0179318,0.0175755,0.07,-0.0364344,0.044274,0.410547,146004,N,0.386637117053148
HP.3054.3.2,ADNI_Females,5e-05,0.00315208,0.00229147,0.0157567,0.0134653,0.07,0.117056,0.0990641,0.237356,119,N,0.624599785500472
HP.3054.3.2,ANM_Females,5e-05,0.0155006,0.0128377,0.168458,0.155621,0.07,-0.259036,0.111729,0.0204264,125,Y,1.68980816777288
HP.3054.3.2,GERAD_Females,5e-05,0.001177,0.000975762,0.0185513,0.0175755,0.07,0.0602221,0.0439799,0.170902,122,N,0.767252854869191
IGFBP2.2570.72.5,ADNI_Females,0.1,0.0102632,0.00747815,0.0209434,0.0134653,0.07,-0.214227,0.100774,0.0335176,37024,Y,1.47472708622531
IGFBP2.2570.72.5,ANM_Females,0.001,0.00668305,0.00551574,0.161136,0.155621,0.07,-0.172663,0.106932,0.106377,777,N,0.973152261635454
IGFBP2.2570.72.5,GERAD_Females,5e-04,0.00119281,0.000988869,0.0185644,0.0175755,0.07,-0.0602912,0.0440415,0.17101,427,N,0.766978493012306
IL10.2773.50.2,ADNI_Females,1,0.0135187,0.00986057,0.0233258,0.0134653,0.07,0.268428,0.110906,0.0155069,146749,Y,1.80947501375676
IL10.2773.50.2,ANM_Females,5e-04,0.00964402,0.00796882,0.163589,0.155621,0.07,-0.203643,0.108649,0.0608864,414,N,1.21547970350099
IL10.2773.50.2,GERAD_Females,0.5,0.00313745,0.00260164,0.0201771,0.0175755,0.07,-0.0989133,0.0442427,0.0253716,108848,Y,1.59565214415941
IL13.3072.4.2,ADNI_Females,0.001,0.0065806,0.00478919,0.0182545,0.0134653,0.07,0.172121,0.100392,0.0864367,780,N,1.06330182206584
