Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.0253693,0.00162385,0.156816,0.0494085,17,2.78945409035407,Y,N,0.422201,0.374480742383247,N
Angiopoietin.2,Base,5e-05,0.00498338,0.164657,0.0695023,0.0499226,101,0.783419801564573,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,5e-04,0.000158291,0.804633,-0.012387,0.0500435,418,0.0944021599029514,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,0.001,2.90563e-05,0.915603,0.0053071,0.0500467,732,0.0382927930165956,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,0.01,0.000271843,0.745814,0.0162329,0.0500406,4412,0.127369468566988,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,0.05,0.00110478,0.513347,-0.0327247,0.0500198,15386,0.289588971651554,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,0.1,0.00235691,0.339575,-0.0477979,0.0499884,25716,0.469064290635697,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,0.2,0.00077918,0.583085,-0.0274825,0.0500279,41842,0.234268130763864,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,0.5,0.00115847,0.50328,-0.0335104,0.0500184,74364,0.29819032782305,N,N,0.998709189189189,0.00056095413308433,N
Angiopoietin.2,Base,1,0.0014046,0.461082,-0.0368989,0.0500123,100633,0.336221831702216,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,5e-08,0.00604954,0.125661,-0.0777329,0.050649,17,0.900799488526224,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,5e-05,0.0101056,0.0475501,-0.100467,0.0505455,101,1.32284856538477,Y,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,5e-04,0.00242561,0.332625,-0.0492215,0.0507412,418,0.478045112440555,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,0.001,0.00133358,0.472649,-0.0364966,0.050769,732,0.325461256621353,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,0.01,0.000102565,0.842179,0.0101215,0.0508003,4412,0.0745955920511448,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,0.05,0.000749208,0.590426,0.0273555,0.0507839,15386,0.228834526171624,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,0.1,0.000421262,0.686543,0.0205126,0.0507922,25716,0.163332256565772,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,0.2,0.0031296,0.271034,0.0559098,0.0507233,41842,0.566976225412749,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,0.5,0.00232336,0.34304,0.0481728,0.0507438,74364,0.464655236323343,N,N,0.998709189189189,0.00056095413308433,N
Apo.B,Base,1,0.00205298,0.372803,0.0452831,0.0507507,100633,0.42852060147309,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,5e-08,0.00426106,0.198898,0.0649815,0.0504949,17,0.701369583860636,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,5e-05,0.000644029,0.61778,0.0252629,0.0505866,101,0.209166155649711,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,5e-04,0.00210771,0.366499,0.0457021,0.0505495,418,0.435927206002592,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,0.001,0.00289785,0.289561,0.0535882,0.0505295,732,0.538259932203377,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,0.01,0.00053473,0.649342,-0.0230196,0.0505893,4412,0.187526505677489,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,0.05,1.51844e-05,0.938935,0.00387909,0.0506025,15386,0.027364471757761,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,0.1,0.000318707,0.725588,0.0177716,0.0505948,25716,0.139309908385775,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,0.2,0.000489266,0.663626,0.0220193,0.0505905,41842,0.178076607223731,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,0.5,1.07033e-07,0.994868,-0.000325678,0.0506029,74364,0.00223453802265047,N,N,0.998709189189189,0.00056095413308433,N
Apo.E3,Base,1,4.15635e-09,0.998989,6.41781e-05,0.0506029,100633,0.00043929382166758,N,N,0.998989,0.00043929382166758,N
BNP.32,Base,5e-08,0.0037852,0.226012,-0.0619198,0.051063,17,0.645868501580792,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,5e-05,0.000121645,0.828334,0.0111002,0.0511568,101,0.0817945121176699,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,5e-04,0.000146858,0.811684,0.0121965,0.0511562,418,0.0906130148068219,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,0.001,0.00263601,0.312476,0.0516725,0.0510925,732,0.505183333416968,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,0.01,0.000288396,0.738463,-0.0170915,0.0511526,4412,0.131671259726957,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,0.05,3.26836e-05,0.910511,-0.00575374,0.0511591,15386,0.0407148030701116,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,0.1,1.14034e-07,0.994703,-0.000339862,0.0511599,25716,0.00230657223472765,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,0.2,1.66475e-05,0.936067,0.00410639,0.0511595,41842,0.0286930650557922,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,0.5,4.97019e-06,0.965041,0.00224374,0.0511598,74364,0.0154542351582748,N,N,0.998709189189189,0.00056095413308433,N
BNP.32,Base,1,2.44054e-05,0.922629,0.00497197,0.0511593,100633,0.034972898804234,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,5e-08,0.000161768,0.802543,0.0127426,0.0509239,17,0.0955316889387643,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,5e-05,0.00165157,0.424121,-0.0407157,0.050886,101,0.372510223276374,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,5e-04,0.000356173,0.710592,0.0189079,0.050919,418,0.148379686201339,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,0.001,0.000274422,0.744652,-0.0165967,0.0509211,732,0.128046639720461,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,0.01,0.000128705,0.823502,-0.0113661,0.0509248,4412,0.0843353417426676,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,0.05,0.00480163,0.172586,0.0694235,0.0508056,15386,0.762994436716676,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,0.1,0.00320722,0.265162,0.0567384,0.0508463,25716,0.576488713950449,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,0.2,0.0068172,0.103946,0.082721,0.0507542,41842,0.983192218322428,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,0.5,0.00543195,0.146798,0.0738398,0.0507895,74364,0.833279861278808,N,N,0.998709189189189,0.00056095413308433,N
C1.Esterase.Inhibitor,Base,1,0.00556852,0.141802,0.0747622,0.0507861,100633,0.848317643745065,N,N,0.998709189189189,0.00056095413308433,N
C3,Base,5e-08,0.00160719,0.430422,0.0403701,0.0511473,17,0.36610553884162,N,N,0.998709189189189,0.00056095413308433,N
C3,Base,5e-05,0.00519266,0.156035,0.0725641,0.0510554,101,0.806777974709904,N,N,0.998709189189189,0.00056095413308433,N
C3,Base,5e-04,0.00192427,0.388237,0.0441734,0.0511392,418,0.410903077576965,N,N,0.998709189189189,0.00056095413308433,N
C3,Base,0.001,8.71263e-05,0.854398,-0.00939944,0.0511862,732,0.0683397769236419,N,N,0.998709189189189,0.00056095413308433,N
C3,Base,0.01,0.0123968,0.0281065,0.11212,0.0508702,4412,1.55119323213445,Y,N,0.998709189189189,0.00056095413308433,N
