Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.027461,0.00252808,0.169021,0.055539,18,2.59720918711085,Y,N,0.3286504,0.483265834804009,N
Angiopoietin.2,Base,5e-05,0.00923289,0.0813393,0.0980055,0.0560571,102,1.08969956942154,N,N,0.794127862068965,0.100109566438966,N
Angiopoietin.2,Base,5e-04,0.000109063,0.850094,0.0106517,0.0563146,415,0.070533049080818,N,N,0.985929244444444,0.00615425123520369,N
Angiopoietin.2,Base,0.001,0.000716178,0.628108,0.0272956,0.0562975,730,0.201965675098189,N,N,0.980508235294118,0.00854875433911162,N
Angiopoietin.2,Base,0.01,0.00262665,0.353354,0.0522737,0.0562437,4417,0.451789988067682,N,N,0.980508235294118,0.00854875433911162,N
Angiopoietin.2,Base,0.05,0.000182333,0.806939,-0.0137725,0.0563125,15410,0.0931592942304597,N,N,0.980508235294118,0.00854875433911162,N
Angiopoietin.2,Base,0.1,0.000389083,0.72109,-0.0201188,0.0563067,25758,0.142010527147345,N,N,0.980508235294118,0.00854875433911162,N
Angiopoietin.2,Base,0.2,4.79764e-06,0.968381,-0.00223406,0.0563175,41839,0.0139537401680426,N,N,0.998432373540856,0.000681345708312569,N
Angiopoietin.2,Base,0.5,0.000423171,0.709657,-0.0209816,0.0563057,74339,0.148951509028523,N,N,0.980508235294118,0.00854875433911162,N
Angiopoietin.2,Base,1,0.000438847,0.704576,-0.0213667,0.0563053,100423,0.152072154292847,N,N,0.980508235294118,0.00854875433911162,N
Apo.B,Base,5e-08,0.00429807,0.234943,-0.0661522,0.055595,18,0.629037490018179,N,N,0.92553303030303,0.0336080775892299,N
Apo.B,Base,5e-05,0.0094278,0.0781781,-0.0979745,0.0554516,102,1.10691488864338,N,N,0.794127862068965,0.100109566438966,N
Apo.B,Base,5e-04,0.00128182,0.516901,-0.0361262,0.0556791,415,0.286592627642598,N,N,0.980508235294118,0.00854875433911162,N
Apo.B,Base,0.001,0.000172095,0.812334,-0.0132371,0.0557101,730,0.0902653691177829,N,N,0.980508235294118,0.00854875433911162,N
Apo.B,Base,0.01,0.000238247,0.779977,-0.0155748,0.0557082,4417,0.10791820361767,N,N,0.980508235294118,0.00854875433911162,N
