Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
BNP.32,Base,1,0.000204832,0.772638,0.0144628,0.0500238,100602,0.112023936128456,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,5e-08,2.9811e-05,0.912236,-0.00545041,0.0494201,26,0.039892792988693,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,5e-05,0.00152973,0.429621,-0.0393762,0.049804,116,0.366914498348497,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,5e-04,5.12242e-09,0.998847,-7.15975e-05,0.0495256,434,0.000501030437219709,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,0.001,0.000324919,0.715929,-0.0181199,0.0497584,748,0.145130045341784,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,0.01,8.75636e-06,0.952367,0.00298005,0.0498573,4441,0.0211956615307031,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,0.05,0.00406955,0.197367,0.065117,0.050432,15402,0.704725460156637,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,0.1,0.00203725,0.361974,0.0457243,0.0501017,25754,0.44132262300841,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,0.2,0.00448682,0.175829,0.0680089,0.0501522,41891,0.754909493873791,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,0.5,0.00381837,0.211813,0.0625476,0.0500162,74416,0.674047388633609,N,N,0.999598,0.000174621482995295,N
C1.Esterase.Inhibitor,Base,1,0.00387338,0.208546,0.0629826,0.0500037,100602,0.680798135689104,N,N,0.999598,0.000174621482995295,N
C3,Base,5e-08,0.000267212,0.741395,0.0163078,0.0493831,26,0.12995034719738,N,N,0.999598,0.000174621482995295,N
C3,Base,5e-05,0.0011134,0.500456,0.0335722,0.049783,116,0.300634099597664,N,N,0.999598,0.000174621482995295,N
C3,Base,5e-04,0.000109697,0.832549,0.0104709,0.0494917,434,0.0795901964962768,N,N,0.999598,0.000174621482995295,N
C3,Base,0.001,0.00109028,0.504941,-0.0331713,0.049708,748,0.296759364200863,N,N,0.999598,0.000174621482995295,N
C3,Base,0.01,0.00632539,0.107823,0.0800443,0.0496683,4441,0.96728858880009,N,N,0.999598,0.000174621482995295,N
C3,Base,0.05,0.00285504,0.280408,0.0545072,0.0504309,15402,0.552209600169383,N,N,0.999598,0.000174621482995295,N
C3,Base,0.1,1.34066e-05,0.941079,0.00370689,0.0501208,25754,0.0263739176737378,N,N,0.999598,0.000174621482995295,N
C3,Base,0.2,0.000248614,0.750247,-0.0159987,0.0502271,41891,0.124795732505643,N,N,0.999598,0.000174621482995295,N
C3,Base,0.5,0.000221307,0.763932,-0.0150485,0.0500748,74416,0.11694529762732,N,N,0.999598,0.000174621482995295,N
C3,Base,1,0.000167706,0.79376,-0.0130971,0.0500651,100602,0.10031079030789,N,N,0.999598,0.000174621482995295,N
C4,Base,5e-08,0.000836661,0.559204,0.0288516,0.0493609,26,0.252429730732127,N,N,0.999598,0.000174621482995295,N
C4,Base,5e-05,0.0014072,0.448735,0.0377364,0.0497675,116,0.348010055463445,N,N,0.999598,0.000174621482995295,N
C4,Base,5e-04,0.00287399,0.278816,0.0535868,0.0494151,434,0.554682307646019,N,N,0.999598,0.000174621482995295,N
C4,Base,0.001,0.00299014,0.269297,0.0549247,0.0496525,748,0.569768484652741,N,N,0.999598,0.000174621482995295,N
C4,Base,0.01,0.0033387,0.24305,0.058144,0.0497347,4441,0.614304374589439,N,N,0.999598,0.000174621482995295,N
C4,Base,0.05,0.00130327,0.466005,0.0368208,0.0504618,15402,0.331609423522961,N,N,0.999598,0.000174621482995295,N
C4,Base,0.1,0.00186613,0.382963,0.0437272,0.0500662,25754,0.416843183399665,N,N,0.999598,0.000174621482995295,N
C4,Base,0.2,0.00163382,0.414333,0.0410065,0.0501841,41891,0.38265047547034,N,N,0.999598,0.000174621482995295,N
C4,Base,0.5,0.0014611,0.440169,0.0386604,0.0500355,74416,0.356380546978071,N,N,0.999598,0.000174621482995295,N
