Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.000516297,0.680884,0.0231756,0.0563031,27,0.166926871128388,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,5e-05,0.000414861,0.712395,0.0207746,0.056306,116,0.14727913732787,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,5e-04,0.000902947,0.586494,-0.0306487,0.0562922,431,0.231736426481479,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,0.001,8.52816e-05,0.867271,-0.00941909,0.0563153,746,0.0618451754020726,N,N,0.964674599156118,0.0156191567318419,N
Angiopoietin.2,Base,0.01,0.00111637,0.545291,0.0340789,0.0562862,4435,0.263371670262185,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,0.05,0.000534583,0.675597,-0.0235825,0.0563026,15429,0.1703122875888,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,0.1,0.000765512,0.616509,-0.02822,0.0562961,25777,0.210060579049098,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,0.2,7.91244e-05,0.872109,-0.00907271,0.0563154,41860,0.0594292316498378,N,N,0.964674599156118,0.0156191567318419,N
Angiopoietin.2,Base,0.5,0.000701838,0.631572,-0.0270209,0.0562979,74363,0.19957713217078,N,N,0.95489990521327,0.0200421497689331,N
Angiopoietin.2,Base,1,0.000718038,0.627662,-0.027331,0.0562974,100448,0.202274163670257,N,N,0.95489990521327,0.0200421497689331,N
Apo.B,Base,5e-08,0.0016216,0.465971,0.0406331,0.0556697,27,0.331641111060819,N,N,0.951992932330827,0.0213662758393866,N
Apo.B,Base,5e-05,1.50253e-05,0.944075,-0.00391129,0.0557144,116,0.0249935027439872,N,N,0.975667704280156,0.0106980704175005,N
Apo.B,Base,5e-04,0.000625277,0.650838,0.0252316,0.0556974,431,0.186527098162156,N,N,0.95489990521327,0.0200421497689331,N
Apo.B,Base,0.001,0.001239,0.523992,0.0355175,0.0556803,746,0.280675343516993,N,N,0.953446896551724,0.0207034905328083,N
Apo.B,Base,0.01,7.37713e-05,0.876475,0.00866666,0.0557128,4435,0.0572604669254518,N,N,0.964674599156118,0.0156191567318419,N
Apo.B,Base,0.05,0.00216491,0.399514,0.0469491,0.0556545,15429,0.398467997285625,N,N,0.951992932330827,0.0213662758393866,N
Apo.B,Base,0.1,0.00168698,0.45711,0.0414442,0.0556678,25777,0.339979277732077,N,N,0.951992932330827,0.0213662758393866,N
Apo.B,Base,0.2,0.005111,0.195165,0.0721375,0.0555723,41860,0.709598064075894,N,N,0.951992932330827,0.0213662758393866,N
Apo.B,Base,0.5,0.00455287,0.221519,0.0680848,0.0555879,74363,0.65458901778732,N,N,0.951992932330827,0.0213662758393866,N
Apo.B,Base,1,0.00394882,0.254976,0.0634077,0.0556047,100448,0.593500696264452,N,N,0.951992932330827,0.0213662758393866,N
Apo.E3,Base,5e-08,8.6037e-06,0.957666,-0.00279082,0.0525352,27,0.0187859310560359,N,N,0.975667704280156,0.0106980704175005,N
Apo.E3,Base,5e-05,0.00037203,0.727022,-0.0183518,0.0525257,116,0.138452447003357,N,N,0.95489990521327,0.0200421497689331,N
Apo.E3,Base,5e-04,0.000294145,0.756257,-0.0163181,0.0525277,431,0.121330592442214,N,N,0.95489990521327,0.0200421497689331,N
Apo.E3,Base,0.001,0.000147445,0.826062,-0.0115532,0.0525316,746,0.0829873555278273,N,N,0.964674599156118,0.0156191567318419,N
Apo.E3,Base,0.01,0.00165623,0.461245,-0.0387212,0.0524919,4435,0.336068328657662,N,N,0.951992932330827,0.0213662758393866,N
Apo.E3,Base,0.05,0.000256232,0.772044,0.0152302,0.0525287,15429,0.112357947834382,N,N,0.95489990521327,0.0200421497689331,N
Apo.E3,Base,0.1,0.00119342,0.53173,0.032869,0.0525041,25777,0.274308836268651,N,N,0.953446896551724,0.0207034905328083,N
Apo.E3,Base,0.2,0.00214695,0.401478,0.044086,0.052479,41860,0.396338247995208,N,N,0.951992932330827,0.0213662758393866,N
Apo.E3,Base,0.5,0.000923191,0.582326,0.0289091,0.0525112,74363,0.234833818848788,N,N,0.95489990521327,0.0200421497689331,N
Apo.E3,Base,1,0.00109039,0.550008,0.0314182,0.0525068,100448,0.259630993541052,N,N,0.95489990521327,0.0200421497689331,N
BNP.32,Base,5e-08,0.00856767,0.0932064,0.0943326,0.0560306,27,1.03055426587289,N,N,0.745461052631579,0.127575041773754,N
