Pheno,Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,P_MinusLog10,Significant,SignificantBonf,adjp,adjp_MinusLog10,SignificantAdjP
Angiopoietin.2,Base,5e-08,0.00635017,0.419015,0.0988912,0.121889,27,0.377770429776843,N,N,0.813014179104478,0.0899018801708332,N
Angiopoietin.2,Base,5e-05,0.00218572,0.635775,0.058018,0.122144,115,0.196696553450991,N,N,0.872231578947368,0.0593681938442972,N
Angiopoietin.2,Base,5e-04,0.00307397,0.574258,0.0688042,0.122089,434,0.24089294592544,N,N,0.843542824858757,0.0738928643164292,N
Angiopoietin.2,Base,0.001,0.0243029,0.112219,0.193461,0.120782,753,0.949933605677268,N,N,0.689326511627907,0.161575018136756,N
Angiopoietin.2,Base,0.01,0.0392673,0.0426785,0.245912,0.119853,4428,1.36979085291136,Y,N,0.689326511627907,0.161575018136756,N
Angiopoietin.2,Base,0.05,0.00504486,0.471488,0.0881433,0.121969,15281,0.326529356161229,N,N,0.839719771428571,0.0758656211130439,N
Angiopoietin.2,Base,0.1,0.00975025,0.316222,0.122539,0.12168,25448,0.50000791888757,N,N,0.806056078431373,0.0936347426786695,N
Angiopoietin.2,Base,0.2,0.0119146,0.267631,0.135458,0.121547,41048,0.572463583171837,N,N,0.781843370786517,0.106880241845932,N
Angiopoietin.2,Base,0.5,0.0115462,0.275201,0.133348,0.121569,72103,0.560349992334445,N,N,0.785055869565217,0.105099434999365,N
Angiopoietin.2,Base,1,0.0114232,0.277789,0.132635,0.121577,96866,0.556284955624628,N,N,0.785055869565217,0.105099434999365,N
Apo.B,Base,5e-08,0.00402844,0.520043,-0.0598004,0.092649,27,0.283960745037049,N,N,0.839719771428571,0.0758656211130439,N
Apo.B,Base,5e-05,0.0263561,0.0979419,-0.152959,0.0916046,115,1.00903147524621,N,N,0.689326511627907,0.161575018136756,N
Apo.B,Base,5e-04,0.0151932,0.210257,-0.116134,0.0921282,434,0.677249536501432,N,N,0.736867733333333,0.132610460361577,N
Apo.B,Base,0.001,0.00681433,0.402455,-0.0777763,0.0925193,753,0.395282672673124,N,N,0.813014179104478,0.0899018801708332,N
Apo.B,Base,0.01,0.00117669,0.728281,0.0323197,0.0927815,4428,0.137701020133321,N,N,0.917710093457944,0.0372944916704196,N
Apo.B,Base,0.05,0.0228722,0.123496,0.142492,0.0917683,15281,0.908347108850151,N,N,0.706894782608696,0.15064522373213,N
Apo.B,Base,0.1,0.0126102,0.254019,0.105803,0.092249,25448,0.595133797999948,N,N,0.767964418604651,0.114658901272698,N
Apo.B,Base,0.2,0.0112247,0.282028,0.0998214,0.0923137,41048,0.549707772383358,N,N,0.786261666666667,0.104432897373238,N
Apo.B,Base,0.5,0.00644911,0.415402,0.0756634,0.0925363,72103,0.381531416835891,N,N,0.813014179104478,0.0899018801708332,N
Apo.B,Base,1,0.00557823,0.448887,0.0703694,0.0925769,96866,0.347862971809345,N,N,0.822376338028169,0.0849293939855135,N
Apo.E3,Base,5e-08,0.0100877,0.30795,-0.106074,0.103537,27,0.511519791573727,N,N,0.800326336633663,0.0967328913823442,N
Apo.E3,Base,5e-05,0.0330434,0.0634179,-0.191981,0.102329,115,1.19778814315901,N,N,0.689326511627907,0.161575018136756,N
Apo.E3,Base,5e-04,0.019679,0.153429,-0.148155,0.103034,434,0.814092545539336,N,N,0.734545217391304,0.133981464599271,N
Apo.E3,Base,0.001,0.00810636,0.360991,-0.0950885,0.10364,753,0.442503625515563,N,N,0.813014179104478,0.0899018801708332,N
Apo.E3,Base,0.01,0.0398715,0.0410818,-0.210885,0.101967,4428,1.38635053603529,Y,N,0.689326511627907,0.161575018136756,N
Apo.E3,Base,0.05,0.00122953,0.722491,-0.0370326,0.103999,15281,0.14116755850177,N,N,0.917710093457944,0.0372944916704196,N
Apo.E3,Base,0.1,0.000238031,0.875862,-0.0162941,0.104051,25448,0.0575643154754353,N,N,0.953389539748954,0.0207296173074766,N
Apo.E3,Base,0.2,0.00104595,0.743264,-0.0341563,0.104009,41048,0.128856901745649,N,N,0.917710093457944,0.0372944916704196,N
Apo.E3,Base,0.5,0.00313459,0.570502,-0.0591297,0.1039,72103,0.243742828743678,N,N,0.842787045454545,0.0742821485870103,N
Apo.E3,Base,1,0.00249202,0.613031,-0.0527219,0.103933,96866,0.212517563346954,N,N,0.86700128342246,0.0619802596369619,N
BNP.32,Base,5e-08,0.0164495,0.192217,0.146519,0.111634,27,0.716208205222625,N,N,0.734545217391304,0.133981464599271,N
BNP.32,Base,5e-05,0.00431333,0.505612,0.0750283,0.112321,115,0.296182627225794,N,N,0.839719771428571,0.0758656211130439,N
BNP.32,Base,5e-04,0.00198794,0.651518,0.0509355,0.112452,434,0.186073581190559,N,N,0.877692642487047,0.0566575422275144,N
BNP.32,Base,0.001,0.000534696,0.814867,0.0264163,0.112534,753,0.0889132696399419,N,N,0.929234298245614,0.0318747686695778,N
BNP.32,Base,0.01,0.00688614,0.399978,-0.0947996,0.112176,4428,0.397963895525437,N,N,0.813014179104478,0.0899018801708332,N
BNP.32,Base,0.05,0.00270922,0.597944,-0.0594622,0.112412,15281,0.223339487633345,N,N,0.864231333333333,0.0633699920781544,N
BNP.32,Base,0.1,0.0033584,0.557035,-0.0662041,0.112375,25448,0.254117516084227,N,N,0.839719771428571,0.0758656211130439,N
BNP.32,Base,0.2,0.00234695,0.623574,-0.055344,0.112432,41048,0.205112001071281,N,N,0.86700128342246,0.0619802596369619,N
BNP.32,Base,0.5,0.0083025,0.355221,-0.104093,0.112096,72103,0.449501367458384,N,N,0.813014179104478,0.0899018801708332,N
BNP.32,Base,1,0.00737189,0.383782,-0.0980862,0.112148,96866,0.415915398240447,N,N,0.813014179104478,0.0899018801708332,N
C1.Esterase.Inhibitor,Base,5e-08,0.00421101,0.510715,-0.0633091,0.0959264,27,0.291821386472712,N,N,0.839719771428571,0.0758656211130439,N
C1.Esterase.Inhibitor,Base,5e-05,0.0283233,0.0860804,-0.164189,0.0947578,115,1.06509572358534,N,N,0.689326511627907,0.161575018136756,N
C1.Esterase.Inhibitor,Base,5e-04,0.000164009,0.896828,-0.0124942,0.0961211,434,0.047290841028981,N,N,0.96430347107438,0.015786269963925,N
C1.Esterase.Inhibitor,Base,0.001,6.81653e-05,0.933379,-0.0080548,0.0961257,753,0.029941974488699,N,N,0.977525863453815,0.0098717431835734,N
C1.Esterase.Inhibitor,Base,0.01,4.18095e-06,0.983483,-0.00199485,0.0961288,4428,0.00723314267906388,N,N,0.990482,0.00415341247445546,N
C1.Esterase.Inhibitor,Base,0.05,0.0240663,0.114004,0.151348,0.0949652,15281,0.943079910527988,N,N,0.689326511627907,0.161575018136756,N
C1.Esterase.Inhibitor,Base,0.1,0.0163911,0.193013,0.124904,0.0953379,25448,0.714413438981196,N,N,0.734545217391304,0.133981464599271,N
C1.Esterase.Inhibitor,Base,0.2,0.0168845,0.186392,0.12677,0.095314,41048,0.729572731630183,N,N,0.734545217391304,0.133981464599271,N
C1.Esterase.Inhibitor,Base,0.5,0.0173057,0.180943,0.128342,0.0952935,72103,0.742458213440981,N,N,0.734545217391304,0.133981464599271,N
C1.Esterase.Inhibitor,Base,1,0.0170345,0.184429,0.127332,0.0953067,96866,0.734170788544171,N,N,0.734545217391304,0.133981464599271,N
C3,Base,5e-08,0.0741265,0.00494069,0.274432,0.0955663,27,2.30621239474709,Y,N,0.6422897,0.192269042440252,N
C3,Base,5e-05,0.0766044,0.00424449,0.278981,0.0954383,115,2.37217448527678,Y,N,0.6422897,0.192269042440252,N
C3,Base,5e-04,0.00996617,0.310896,0.100626,0.0988221,434,0.50738486557052,N,N,0.800326336633663,0.0967328913823442,N
C3,Base,0.001,0.00163106,0.682486,0.0407083,0.0992372,753,0.165906252983335,N,N,0.900742944162437,0.0453991311741098,N
C3,Base,0.01,0.00324723,0.563647,0.0574386,0.0991568,4428,0.248992800180141,N,N,0.839719771428571,0.0758656211130439,N
C3,Base,0.05,0.00578445,0.440598,0.0766617,0.0990306,15281,0.35595747856731,N,N,0.822376338028169,0.0849293939855135,N
C3,Base,0.1,0.00731838,0.38552,0.0862293,0.0989541,25448,0.413953086706848,N,N,0.813014179104478,0.0899018801708332,N
C3,Base,0.2,7.2958e-05,0.931083,0.00860962,0.0993146,41048,0.031011602761625,N,N,0.977525863453815,0.0098717431835734,N
C3,Base,0.5,2.54691e-05,0.959248,0.00508691,0.099317,72103,0.0180690976181728,N,N,0.983193046875,0.00736120143415025,N
C3,Base,1,0.000396385,0.840231,0.0200681,0.0992985,96866,0.075601299374345,N,N,0.931162893617021,0.0309743387707075,N
C4,Base,5e-08,0.000579609,0.807393,-0.0159729,0.0653538,27,0.0929150201901976,N,N,0.929234298245614,0.0318747686695778,N
C4,Base,5e-05,0.00344233,0.55214,-0.0389262,0.0652602,115,0.257950789085168,N,N,0.839719771428571,0.0758656211130439,N
C4,Base,5e-04,0.00699975,0.396104,-0.0555082,0.0651436,434,0.402190771912404,N,N,0.813014179104478,0.0899018801708332,N
C4,Base,0.001,0.000946697,0.755346,0.0204137,0.0653418,753,0.121854066292047,N,N,0.917710093457944,0.0372944916704196,N
C4,Base,0.01,0.0335,0.0615872,0.121433,0.0642685,4428,1.210509540222,N,N,0.689326511627907,0.161575018136756,N
C4,Base,0.05,0.00557192,0.449144,0.0495243,0.0651904,15281,0.347614397573275,N,N,0.822376338028169,0.0849293939855135,N
